                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3514,                 4.3977,                 3.6504,                0.11795,                0.09394,                0.04427,                0.01413,                 2.8927,                 4.0918,                 3.1129,               0.070038,              0.0033291,              0.0033291
                      2,                 2.8812,                 3.3521,                 2.8655,                0.36557,                0.15037,                0.16821,                0.05933,                 2.5285,                 3.4953,                 2.5591,               0.039994,              0.0066185,              0.0066185
                      3,                  2.504,                 2.8277,                 2.3419,                0.35367,                0.24986,                 0.2239,                 0.0838,                 2.3502,                 4.1181,                 2.2984,              0.0099062,              0.0098638,              0.0098638
                      4,                 2.2861,                 2.4819,                 2.0668,                 0.4152,                 0.3222,                0.31762,                0.12902,                 2.2126,                 3.1509,                  2.142,               0.009802,               0.009802,               0.009802
                      5,                 2.1492,                  2.258,                 1.9176,                0.49989,                0.39346,                0.41276,                0.17123,                 2.0975,                 2.4559,                 2.0232,               0.009802,               0.009802,               0.009802
                      6,                 2.0677,                 2.1488,                 1.8518,                0.53541,                0.44083,                0.46053,                 0.2029,                 2.0223,                 2.3133,                 1.9232,               0.009736,               0.009736,               0.009736
                      7,                 1.9906,                 2.0204,                   1.78,                0.56387,                0.44934,                0.49236,                0.22417,                 1.9707,                 2.3466,                 1.8842,                0.00967,                0.00967,                0.00967
                      8,                 1.9524,                 1.9486,                 1.7385,                0.57573,                 0.4711,                0.50222,                0.22474,                 1.9698,                 2.1861,                 1.8889,               0.009604,               0.009604,               0.009604
                      9,                 1.9133,                 1.9054,                 1.7082,                 0.5869,                0.48595,                0.52263,                0.23412,                 1.9155,                 2.0558,                 1.8198,               0.009538,               0.009538,               0.009538
                     10,                 1.8841,                 1.8709,                 1.6775,                 0.6003,                0.51298,                0.55026,                0.26168,                 1.8868,                 2.0239,                 1.7993,               0.009472,               0.009472,               0.009472
                     11,                 1.8566,                 1.8169,                 1.6559,                0.61961,                0.51809,                0.56383,                 0.2626,                  1.887,                 1.9602,                 1.8022,               0.009406,               0.009406,               0.009406
                     12,                 1.8276,                 1.7852,                 1.6211,                0.62899,                0.52752,                0.57506,                0.27166,                 1.8751,                 1.9916,                 1.7901,                0.00934,                0.00934,                0.00934
                     13,                  1.816,                 1.7536,                 1.6097,                0.64569,                0.52511,                0.58426,                0.27931,                 1.8414,                 1.9559,                 1.7448,               0.009274,               0.009274,               0.009274
                     14,                 1.7996,                 1.7307,                 1.6025,                0.64399,                0.52405,                0.58531,                0.27537,                 1.8431,                 1.9432,                 1.7177,               0.009208,               0.009208,               0.009208
                     15,                 1.7689,                 1.6851,                  1.575,                0.65574,                0.54386,                0.60167,                0.28921,                 1.8174,                 1.8972,                 1.7217,               0.009142,               0.009142,               0.009142
                     16,                 1.7581,                 1.6444,                 1.5595,                0.64885,                0.55229,                 0.6034,                0.29458,                 1.8161,                 1.8962,                 1.7239,               0.009076,               0.009076,               0.009076
                     17,                 1.7407,                 1.6286,                 1.5477,                0.66271,                0.54967,                0.61047,                0.30188,                  1.822,                 1.8387,                 1.7353,                0.00901,                0.00901,                0.00901
                     18,                 1.7425,                 1.6247,                  1.544,                0.67882,                0.56668,                 0.6256,                0.30862,                 1.8057,                 1.7574,                 1.7072,               0.008944,               0.008944,               0.008944
                     19,                 1.7253,                 1.5933,                 1.5267,                0.67578,                0.57263,                0.63262,                0.31545,                 1.7821,                  1.793,                 1.6792,               0.008878,               0.008878,               0.008878
                     20,                 1.7246,                 1.6008,                 1.5352,                0.68437,                0.56528,                0.63221,                0.31334,                 1.7791,                  1.798,                 1.6869,               0.008812,               0.008812,               0.008812
                     21,                 1.7005,                 1.5698,                 1.5167,                0.69559,                0.56929,                0.63969,                0.31965,                 1.7698,                 1.7894,                 1.6784,               0.008746,               0.008746,               0.008746
                     22,                  1.696,                 1.5456,                 1.5082,                0.68262,                0.56409,                0.63296,                0.31521,                 1.7686,                 1.8607,                 1.6798,                0.00868,                0.00868,                0.00868
                     23,                 1.6811,                 1.5242,                 1.4967,                0.68598,                0.58975,                   0.65,                0.32366,                 1.7549,                 1.7176,                 1.6424,               0.008614,               0.008614,               0.008614
                     24,                 1.6769,                 1.5274,                 1.4954,                0.67152,                0.57577,                0.63343,                0.32539,                 1.7657,                 1.8151,                 1.6747,               0.008548,               0.008548,               0.008548
                     25,                  1.666,                 1.5111,                 1.4846,                0.70453,                0.58934,                 0.6563,                0.33492,                 1.7339,                 1.7136,                 1.6484,               0.008482,               0.008482,               0.008482
                     26,                 1.6636,                  1.511,                 1.4822,                0.68494,                0.58936,                0.64957,                0.33109,                 1.7335,                 1.7064,                 1.6386,               0.008416,               0.008416,               0.008416
                     27,                 1.6579,                 1.4923,                  1.479,                0.70651,                0.58071,                0.65948,                0.33308,                 1.7467,                 1.7109,                 1.6632,                0.00835,                0.00835,                0.00835
                     28,                 1.6427,                 1.4651,                  1.461,                0.70078,                0.59056,                0.66173,                0.33935,                 1.7564,                 1.7117,                 1.6515,               0.008284,               0.008284,               0.008284
                     29,                 1.6408,                 1.4635,                 1.4671,                0.71113,                0.60236,                0.67199,                 0.3432,                 1.7257,                  1.667,                 1.6447,               0.008218,               0.008218,               0.008218
