                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3084,                 1.0132,                 1.3276,                0.78544,                0.64096,                0.74548,                0.40246,                 1.6251,                 1.3379,                 1.6303,               0.070038,              0.0033291,              0.0033291
                      2,                 1.3529,                 1.0639,                 1.3544,                0.76068,                0.65641,                0.73426,                0.39777,                 1.6139,                 1.3627,                 1.6298,               0.040005,              0.0066295,              0.0066295
                      3,                 1.3851,                 1.1159,                 1.3801,                0.75856,                0.63655,                0.72247,                0.38461,                 1.6529,                 1.4468,                 1.6539,              0.0099392,              0.0098968,              0.0098968
                      4,                 1.4415,                 1.1645,                 1.4101,                0.74386,                0.62941,                0.71171,                0.37881,                 1.6269,                 1.4542,                 1.6428,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.445,                 1.1737,                 1.4171,                0.75452,                0.62212,                0.71027,                0.37766,                 1.6467,                  1.515,                 1.6562,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4452,                 1.1871,                 1.4238,                0.73988,                0.62521,                  0.708,                 0.3748,                 1.6585,                 1.4783,                  1.663,               0.009802,               0.009802,               0.009802
                      7,                 1.4433,                 1.1811,                 1.4162,                0.74555,                0.62875,                0.71649,                0.37998,                 1.6394,                 1.4473,                 1.6498,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.4452,                 1.1848,                 1.4169,                0.74261,                 0.6345,                0.70764,                0.37949,                 1.6329,                  1.489,                 1.6514,               0.009703,               0.009703,               0.009703
                      9,                  1.445,                  1.171,                 1.4171,                0.72041,                 0.6507,                 0.7093,                0.37796,                 1.6336,                 1.4399,                 1.6363,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4458,                 1.1875,                 1.4162,                0.73131,                0.63198,                0.71144,                0.37203,                 1.6532,                 1.4816,                 1.6542,               0.009604,               0.009604,               0.009604
                     11,                 1.4402,                 1.1742,                 1.4134,                 0.7387,                0.62016,                0.70711,                0.36781,                 1.6626,                  1.501,                 1.6556,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4382,                 1.1727,                 1.4051,                 0.7505,                0.63468,                0.72008,                0.38217,                 1.6368,                 1.4346,                 1.6466,               0.009505,               0.009505,               0.009505
                     13,                 1.4435,                 1.1778,                 1.4152,                0.74887,                0.64861,                0.73238,                0.38702,                 1.6284,                 1.4343,                  1.629,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4437,                   1.18,                 1.4189,                0.74664,                0.63582,                 0.7252,                 0.3774,                 1.6581,                 1.4758,                 1.6495,               0.009406,               0.009406,               0.009406
                     15,                 1.4314,                 1.1613,                 1.4045,                0.74931,                0.64075,                0.72089,                0.38179,                 1.6463,                 1.4484,                  1.643,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4265,                 1.1545,                 1.4068,                0.74597,                 0.6266,                0.70965,                 0.3726,                 1.6399,                 1.4589,                 1.6547,               0.009307,               0.009307,               0.009307
                     17,                 1.4201,                 1.1515,                 1.3984,                0.74918,                0.63154,                0.71752,                0.38242,                 1.6208,                 1.4449,                 1.6266,              0.0092575,              0.0092575,              0.0092575
