                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6728,                 4.0609,                 4.0512,                0.00375,                0.26058,                0.00305,                0.00099,                 3.5072,                 5.1802,                 3.9655,               0.070038,              0.0033291,              0.0033291
                      2,                 3.2733,                 3.3573,                 3.3395,                0.12349,                 0.1924,                0.06007,                0.01764,                 2.7926,                 4.0656,                 2.8106,               0.040005,              0.0066295,              0.0066295
                      3,                 2.6975,                 2.7188,                 2.6708,                 0.3147,                0.29473,                 0.2406,                 0.0829,                 2.4591,                 2.9464,                 2.4899,              0.0099392,              0.0098968,              0.0098968
                      4,                 2.3267,                 2.3535,                 2.2822,                0.43976,                0.35722,                0.32218,                0.12104,                 2.2256,                 2.5239,                   2.28,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1294,                 2.1441,                 2.0897,                0.45324,                0.39692,                0.35669,                0.14426,                 2.0689,                   2.51,                 2.1215,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.0251,                 2.0223,                 1.9951,                0.53043,                0.42773,                0.40918,                0.16739,                 2.0367,                 2.3948,                  2.105,               0.009802,               0.009802,               0.009802
                      7,                 1.9626,                 1.9126,                 1.9196,                0.55933,                0.45025,                0.46814,                0.20189,                 1.9413,                 2.1544,                 2.0107,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9068,                 1.8409,                 1.8666,                0.59367,                0.46508,                0.46916,                0.20651,                 1.9389,                 2.0342,                 1.9638,               0.009703,               0.009703,               0.009703
                      9,                  1.866,                 1.7868,                 1.8317,                0.61499,                0.49168,                0.51667,                0.22752,                 1.9011,                 1.9179,                   1.95,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8406,                 1.7482,                 1.7966,                0.58056,                0.48355,                0.52084,                0.22958,                 1.9102,                 1.9524,                 1.9564,               0.009604,               0.009604,               0.009604
                     11,                 1.8052,                 1.7157,                 1.7838,                0.63841,                0.49732,                0.55046,                0.25326,                 1.8629,                 1.8868,                 1.9055,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7812,                 1.6777,                 1.7387,                0.64678,                0.52519,                0.57738,                0.26854,                 1.8075,                  1.814,                 1.8609,               0.009505,               0.009505,               0.009505
                     13,                 1.7701,                 1.6443,                 1.7365,                0.66372,                0.52122,                0.57204,                0.26824,                 1.8023,                 1.8072,                 1.8451,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7541,                 1.6261,                 1.7234,                 0.6417,                0.53073,                 0.5848,                0.26932,                 1.8119,                 1.7973,                 1.8511,               0.009406,               0.009406,               0.009406
                     15,                 1.7302,                  1.594,                 1.6896,                0.67182,                0.55135,                0.60113,                0.28563,                 1.7895,                 1.8032,                 1.8209,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.7132,                 1.5553,                 1.6704,                0.67473,                0.52918,                0.59884,                0.28161,                 1.7715,                 1.7271,                 1.7988,               0.009307,               0.009307,               0.009307
                     17,                 1.6916,                 1.5273,                 1.6586,                0.69584,                0.54963,                0.61839,                0.29293,                 1.7683,                 1.7099,                 1.7872,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6995,                 1.5356,                  1.667,                0.70054,                0.54204,                0.62028,                0.29521,                 1.7629,                 1.6757,                 1.7902,               0.009208,               0.009208,               0.009208
                     19,                  1.674,                 1.4972,                 1.6422,                0.70237,                0.55331,                0.63163,                0.30022,                 1.7569,                 1.7059,                 1.7971,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6709,                 1.5043,                 1.6473,                0.69225,                0.55853,                0.62888,                0.30303,                 1.7513,                 1.6725,                 1.7799,               0.009109,               0.009109,               0.009109
                     21,                 1.6449,                 1.4697,                 1.6211,                0.70486,                0.56741,                0.63533,                0.31007,                 1.7389,                 1.6513,                 1.7773,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6467,                 1.4563,                 1.6199,                0.70538,                0.55871,                0.63315,                 0.3103,                 1.7197,                 1.7107,                 1.7609,                0.00901,                0.00901,                0.00901
                     23,                 1.6279,                 1.4346,                 1.6039,                0.69425,                0.56631,                0.63295,                0.31307,                 1.7194,                  1.768,                 1.7702,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6206,                 1.4457,                 1.6012,                0.73259,                0.56066,                0.62828,                0.31186,                 1.7098,                 1.6214,                 1.7523,               0.008911,               0.008911,               0.008911
                     25,                 1.6215,                 1.4312,                 1.6013,                 0.7246,                0.56945,                0.64344,                0.31898,                 1.6999,                 1.6008,                 1.7447,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.611,                 1.4288,                 1.5932,                0.70444,                0.57782,                0.64794,                0.32187,                 1.7021,                 1.5626,                  1.742,               0.008812,               0.008812,               0.008812
                     27,                 1.6033,                 1.3978,                 1.5808,                0.70832,                0.58629,                0.65577,                0.32855,                 1.6962,                  1.562,                  1.731,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5885,                 1.3862,                 1.5665,                0.74576,                0.56917,                0.64856,                0.32131,                 1.6953,                 1.6192,                 1.7282,               0.008713,               0.008713,               0.008713
                     29,                 1.5856,                 1.3792,                 1.5721,                 0.7247,                0.59399,                 0.6654,                0.33528,                 1.6834,                 1.5509,                 1.7096,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5828,                 1.3729,                  1.572,                0.71911,                0.59277,                0.66581,                0.33401,                 1.6782,                 1.5445,                 1.7106,               0.008614,               0.008614,               0.008614
                     31,                 1.5714,                 1.3676,                 1.5536,                0.73351,                0.57433,                0.66022,                0.33198,                 1.6779,                 1.5325,                 1.7036,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.561,                 1.3504,                 1.5492,                0.74179,                0.58036,                0.67056,                0.33756,                 1.6596,                 1.5475,                 1.7056,               0.008515,               0.008515,               0.008515
                     33,                   1.57,                 1.3549,                 1.5544,                0.71438,                0.61274,                0.67663,                0.33775,                  1.677,                 1.5152,                 1.7156,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5498,                 1.3453,                 1.5457,                 0.7419,                 0.5865,                0.66923,                0.33846,                 1.6694,                 1.5238,                 1.7145,               0.008416,               0.008416,               0.008416
                     35,                 1.5464,                 1.3377,                 1.5437,                0.72478,                0.60399,                0.67725,                0.34344,                  1.656,                 1.5282,                 1.7056,              0.0083665,              0.0083665,              0.0083665
