                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3354,                 4.1548,                 3.8529,                0.62448,                0.08714,                0.05875,                0.01805,                 2.8286,                 4.0594,                 3.2647,               0.070038,              0.0033291,              0.0033291
                      2,                 2.8632,                 3.1838,                 3.0808,                0.14606,                0.31849,                0.09412,                0.03168,                 2.5026,                 3.9713,                 2.8485,               0.039994,              0.0066185,              0.0066185
                      3,                 2.5213,                 2.7934,                  2.676,                0.29947,                0.36014,                0.26673,                0.10192,                 2.2832,                 3.4314,                 2.5686,              0.0099062,              0.0098638,              0.0098638
                      4,                 2.2784,                 2.5168,                  2.371,                0.42944,                 0.3712,                0.35591,                0.14544,                 2.1317,                 2.9926,                 2.4211,               0.009802,               0.009802,               0.009802
                      5,                 2.1258,                 2.3081,                 2.2074,                0.48146,                0.41212,                0.38596,                0.16271,                 2.0497,                 2.5479,                 2.2816,               0.009802,               0.009802,               0.009802
                      6,                 2.0376,                 2.1942,                 2.0986,                0.49539,                0.45521,                 0.4535,                0.19477,                 1.9755,                 2.4151,                 2.1815,               0.009736,               0.009736,               0.009736
                      7,                 1.9749,                 2.0741,                 2.0159,                0.58032,                0.47909,                0.50723,                0.22952,                 1.9075,                 2.4493,                 2.0987,                0.00967,                0.00967,                0.00967
                      8,                 1.9271,                 1.9994,                 1.9531,                0.52551,                0.47524,                0.45913,                0.20919,                 1.9039,                 2.4956,                 2.0942,               0.009604,               0.009604,               0.009604
                      9,                 1.8881,                 1.9307,                 1.9206,                0.60364,                0.50159,                0.53416,                0.23899,                 1.8695,                 2.1742,                 2.0492,               0.009538,               0.009538,               0.009538
                     10,                 1.8594,                 1.8922,                 1.8852,                0.62377,                0.50318,                0.55237,                0.25493,                 1.8692,                 2.1446,                 2.0301,               0.009472,               0.009472,               0.009472
                     11,                 1.8288,                 1.8521,                 1.8603,                0.64933,                 0.5127,                 0.5726,                 0.2682,                 1.8304,                 2.0643,                 1.9907,               0.009406,               0.009406,               0.009406
                     12,                 1.8074,                 1.8149,                 1.8164,                0.66647,                 0.4941,                0.57138,                0.27384,                 1.8384,                 1.9994,                 1.9894,                0.00934,                0.00934,                0.00934
                     13,                  1.791,                 1.7777,                 1.8135,                0.66819,                0.53342,                0.59796,                0.28482,                 1.8023,                 2.0851,                 1.9493,               0.009274,               0.009274,               0.009274
                     14,                 1.7794,                 1.7571,                 1.7986,                0.66661,                0.52785,                0.59647,                0.28354,                 1.8033,                 1.9614,                 1.9394,               0.009208,               0.009208,               0.009208
                     15,                  1.752,                 1.7146,                 1.7634,                0.67936,                 0.5526,                0.62093,                0.30619,                 1.7628,                 1.9747,                  1.897,               0.009142,               0.009142,               0.009142
                     16,                 1.7359,                 1.6719,                 1.7472,                0.67613,                0.52973,                0.60688,                0.29498,                 1.7729,                 1.8614,                 1.9099,               0.009076,               0.009076,               0.009076
                     17,                 1.7196,                 1.6551,                 1.7347,                0.68595,                0.53656,                 0.6165,                0.30503,                 1.7807,                 1.8677,                 1.9121,                0.00901,                0.00901,                0.00901
                     18,                  1.722,                 1.6403,                 1.7299,                0.70685,                0.57238,                0.63594,                 0.3099,                 1.7564,                 1.8265,                 1.8769,               0.008944,               0.008944,               0.008944
                     19,                 1.7016,                 1.6109,                 1.7047,                0.72043,                0.56462,                0.64559,                0.31908,                 1.7457,                 1.8316,                 1.8669,               0.008878,               0.008878,               0.008878
                     20,                 1.6983,                 1.6162,                 1.7099,                0.67162,                0.56502,                 0.6301,                0.31232,                 1.7587,                 1.9374,                  1.865,               0.008812,               0.008812,               0.008812
                     21,                 1.6742,                 1.5841,                 1.6816,                0.69323,                0.56698,                0.64087,                0.31866,                 1.7418,                 1.9398,                 1.8551,               0.008746,               0.008746,               0.008746
                     22,                 1.6775,                 1.5684,                  1.679,                0.68417,                 0.5687,                0.64008,                0.31921,                 1.7376,                    1.9,                 1.8447,                0.00868,                0.00868,                0.00868
                     23,                 1.6624,                 1.5477,                 1.6699,                 0.7003,                0.56594,                0.64583,                0.31777,                 1.7227,                 1.8135,                 1.8425,               0.008614,               0.008614,               0.008614
                     24,                 1.6544,                 1.5416,                  1.657,                0.69733,                0.58259,                0.64613,                 0.3288,                 1.7116,                 1.7958,                 1.8179,               0.008548,               0.008548,               0.008548
                     25,                 1.6498,                 1.5285,                  1.655,                0.69341,                0.58131,                0.64937,                0.32305,                 1.7115,                  1.804,                 1.8052,               0.008482,               0.008482,               0.008482
                     26,                 1.6491,                 1.5271,                 1.6489,                0.70764,                0.57409,                0.65445,                0.33655,                 1.7034,                 1.7013,                 1.7937,               0.008416,               0.008416,               0.008416
                     27,                 1.6341,                 1.5048,                 1.6402,                 0.7219,                0.57991,                0.66148,                0.33111,                 1.7173,                 1.7041,                 1.8118,                0.00835,                0.00835,                0.00835
                     28,                 1.6289,                 1.4829,                 1.6236,                0.72438,                0.57557,                 0.6621,                0.33381,                 1.7167,                 1.6937,                 1.8006,               0.008284,               0.008284,               0.008284
                     29,                  1.618,                 1.4789,                 1.6266,                0.69603,                0.58892,                0.66249,                0.33986,                 1.6978,                 1.7809,                 1.7933,               0.008218,               0.008218,               0.008218
                     30,                 1.6172,                 1.4752,                 1.6222,                0.71938,                0.58294,                0.67076,                0.34713,                  1.693,                 1.7095,                   1.79,               0.008152,               0.008152,               0.008152
                     31,                 1.6098,                 1.4688,                 1.6186,                0.72124,                0.59545,                 0.6775,                0.34077,                 1.6828,                 1.6362,                 1.7757,               0.008086,               0.008086,               0.008086
                     32,                 1.5987,                 1.4473,                  1.614,                0.72186,                0.59301,                0.67931,                0.35239,                 1.6647,                 1.6999,                 1.7578,                0.00802,                0.00802,                0.00802
                     33,                 1.6031,                  1.453,                 1.6128,                0.71124,                0.59523,                0.67578,                0.34652,                 1.6753,                 1.7324,                 1.7759,               0.007954,               0.007954,               0.007954
                     34,                 1.5924,                 1.4371,                 1.5989,                0.70704,                0.60549,                0.67706,                0.35237,                 1.6485,                 1.6635,                 1.7558,               0.007888,               0.007888,               0.007888
                     35,                 1.5882,                 1.4324,                 1.5975,                0.74062,                0.59716,                0.68359,                0.35057,                 1.6736,                 1.6966,                 1.7533,               0.007822,               0.007822,               0.007822
                     36,                 1.5853,                 1.4346,                 1.5925,                 0.7159,                0.59334,                0.67287,                0.34462,                 1.6562,                 1.7158,                 1.7551,               0.007756,               0.007756,               0.007756
                     37,                 1.5753,                 1.4252,                 1.5934,                0.71844,                0.59623,                0.68147,                0.35404,                 1.6426,                 1.6823,                 1.7362,                0.00769,                0.00769,                0.00769
                     38,                  1.566,                 1.4049,                 1.5847,                0.72127,                0.60023,                0.68243,                0.35234,                 1.6574,                 1.6465,                 1.7568,               0.007624,               0.007624,               0.007624
                     39,                 1.5618,                 1.3839,                 1.5724,                0.74004,                0.58492,                0.68421,                0.35819,                 1.6683,                 1.6201,                 1.7537,               0.007558,               0.007558,               0.007558
                     40,                   1.57,                 1.3965,                 1.5785,                 0.7124,                0.60844,                0.68767,                0.35997,                 1.6554,                 1.6326,                 1.7407,               0.007492,               0.007492,               0.007492
