                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5654,                 3.7298,                 3.6584,                0.05961,                0.08168,                0.02989,                0.00789,                 3.1493,                 3.5732,                 3.1973,               0.070038,              0.0033291,              0.0033291
                      2,                 2.9356,                 2.9324,                 2.8606,                0.19576,                0.23345,                0.10785,                0.03296,                 2.6591,                 3.5081,                  2.604,               0.039994,              0.0066185,              0.0066185
                      3,                 2.5057,                 2.5524,                 2.4104,                0.40829,                0.30175,                0.28027,                0.10131,                  2.366,                  3.027,                 2.3433,              0.0099062,              0.0098638,              0.0098638
                      4,                 2.2644,                 2.2633,                 2.1291,                0.45025,                0.35165,                0.33633,                0.12797,                  2.175,                 2.4179,                 2.1678,               0.009802,               0.009802,               0.009802
                      5,                 2.1284,                 2.1147,                 1.9768,                0.48785,                0.40768,                0.40087,                0.16039,                 2.1389,                 2.3783,                 2.0975,               0.009802,               0.009802,               0.009802
                      6,                 2.0392,                  2.014,                 1.8993,                0.55119,                0.42994,                0.45804,                0.18871,                 2.0358,                 2.2645,                 1.9863,               0.009736,               0.009736,               0.009736
                      7,                 1.9733,                 1.9179,                 1.8203,                0.55841,                0.44258,                0.47395,                0.19778,                  2.011,                 2.5012,                 1.9425,                0.00967,                0.00967,                0.00967
                      8,                 1.9308,                 1.8533,                  1.774,                0.57661,                0.46961,                 0.4947,                0.21706,                 1.9644,                 2.1014,                 1.9104,               0.009604,               0.009604,               0.009604
                      9,                 1.8911,                 1.8029,                 1.7491,                0.59894,                0.47169,                0.51356,                0.22221,                  1.951,                 2.0933,                   1.89,               0.009538,               0.009538,               0.009538
                     10,                 1.8798,                  1.771,                 1.7211,                0.61763,                0.46834,                0.51873,                0.22975,                 1.9257,                 2.0753,                 1.8473,               0.009472,               0.009472,               0.009472
                     11,                 1.8371,                 1.7323,                 1.6978,                0.65201,                0.50258,                0.55662,                0.24938,                 1.8838,                 1.9726,                 1.8083,               0.009406,               0.009406,               0.009406
                     12,                 1.8184,                 1.6998,                 1.6664,                0.68365,                0.51037,                0.57492,                0.25739,                 1.8507,                 2.0092,                 1.7955,                0.00934,                0.00934,                0.00934
                     13,                 1.7971,                 1.6706,                 1.6581,                0.65653,                0.52288,                0.58231,                0.27257,                 1.8357,                 1.9176,                 1.7577,               0.009274,               0.009274,               0.009274
                     14,                 1.7848,                 1.6501,                 1.6523,                0.64442,                0.51406,                0.56897,                0.25727,                 1.8297,                 1.9368,                 1.7644,               0.009208,               0.009208,               0.009208
                     15,                 1.7656,                  1.615,                 1.6229,                0.64001,                0.52796,                 0.5644,                0.26099,                 1.8319,                 1.9124,                 1.7524,               0.009142,               0.009142,               0.009142
                     16,                 1.7533,                 1.5812,                 1.6105,                0.66839,                0.53702,                0.60479,                0.28194,                 1.8099,                 1.8394,                 1.7368,               0.009076,               0.009076,               0.009076
                     17,                 1.7303,                 1.5606,                 1.5962,                0.68384,                0.54333,                0.60443,                 0.2929,                   1.79,                 1.8184,                 1.7106,                0.00901,                0.00901,                0.00901
                     18,                 1.7353,                 1.5658,                  1.599,                0.66257,                0.54729,                0.60519,                0.28959,                 1.7944,                 1.7803,                 1.7162,               0.008944,               0.008944,               0.008944
                     19,                 1.7079,                 1.5349,                  1.574,                0.67859,                0.56019,                0.61805,                0.29031,                 1.7913,                 1.7713,                 1.6984,               0.008878,               0.008878,               0.008878
                     20,                 1.7051,                  1.534,                 1.5805,                0.68666,                0.55537,                0.61509,                0.29395,                 1.7831,                 1.8188,                 1.7036,               0.008812,               0.008812,               0.008812
                     21,                 1.6854,                  1.513,                 1.5588,                0.68979,                0.54919,                0.61675,                0.29538,                 1.7738,                 1.7521,                 1.7072,               0.008746,               0.008746,               0.008746
                     22,                 1.6848,                 1.4916,                 1.5541,                0.69193,                0.55251,                0.61729,                0.29998,                 1.7646,                 1.8491,                 1.6897,                0.00868,                0.00868,                0.00868
                     23,                 1.6641,                 1.4754,                 1.5389,                 0.6824,                0.56868,                0.63299,                0.30869,                 1.7365,                 1.7204,                 1.6727,               0.008614,               0.008614,               0.008614
                     24,                 1.6552,                 1.4757,                 1.5362,                 0.7083,                 0.5626,                0.63428,                0.31134,                 1.7481,                 1.8307,                 1.6824,               0.008548,               0.008548,               0.008548
                     25,                 1.6537,                 1.4682,                 1.5354,                0.69896,                0.56795,                0.63396,                0.31046,                 1.7405,                 1.6713,                 1.6706,               0.008482,               0.008482,               0.008482
                     26,                 1.6532,                 1.4613,                 1.5262,                0.70851,                0.57025,                0.64512,                0.31818,                 1.7352,                 1.6489,                 1.6651,               0.008416,               0.008416,               0.008416
