                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5629,                 3.8098,                 3.7302,                0.09113,                0.08478,                 0.0444,                0.01157,                 3.1684,                 3.6597,                 3.2251,               0.070038,              0.0033291,              0.0033291
                      2,                 2.9747,                 2.8975,                 2.9329,                0.26635,                0.22428,                0.17959,                0.06021,                 2.6291,                 2.6046,                 2.6585,               0.040005,              0.0066295,              0.0066295
                      3,                 2.4658,                 2.4611,                 2.4074,                0.38804,                0.32923,                0.28589,                0.10604,                 2.3584,                 2.5383,                 2.3546,              0.0099392,              0.0098968,              0.0098968
                      4,                 2.1969,                  2.177,                 2.0889,                0.54214,                0.41238,                0.41173,                0.16188,                 2.1237,                 2.5819,                 2.1066,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0551,                 2.0265,                 1.9376,                0.52634,                0.41715,                0.42982,                0.18215,                  2.066,                 2.2001,                 1.9994,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.962,                 1.9146,                 1.8542,                0.58958,                0.45597,                0.49485,                0.21974,                 1.9755,                 2.1133,                  1.939,               0.009802,               0.009802,               0.009802
                      7,                 1.8981,                 1.8212,                 1.7875,                0.60362,                0.46657,                0.49778,                0.22233,                 1.9215,                 1.9763,                 1.8929,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8561,                 1.7589,                 1.7485,                 0.6221,                0.48561,                0.51649,                0.23382,                 1.9411,                  2.194,                 1.9235,               0.009703,               0.009703,               0.009703
                      9,                 1.8191,                 1.7123,                 1.7217,                 0.6351,                0.51141,                0.56374,                0.25475,                 1.8639,                 1.9439,                 1.8255,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8002,                 1.6828,                 1.6902,                0.63459,                0.49963,                0.55559,                0.26119,                 1.8669,                 1.8563,                 1.8139,               0.009604,               0.009604,               0.009604
                     11,                 1.7604,                 1.6458,                 1.6706,                0.66623,                0.50471,                0.56427,                0.25921,                 1.8565,                 1.9699,                 1.8044,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7432,                 1.6171,                 1.6366,                0.68148,                0.53537,                 0.5975,                0.28631,                 1.8011,                 1.7684,                 1.7674,               0.009505,               0.009505,               0.009505
                     13,                 1.7307,                 1.5846,                  1.632,                  0.689,                0.52501,                0.60371,                0.28787,                 1.8032,                 1.7573,                 1.7388,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.717,                 1.5712,                 1.6247,                0.67614,                0.54925,                0.61068,                0.29116,                 1.7832,                 1.7692,                  1.741,               0.009406,               0.009406,               0.009406
                     15,                 1.6931,                 1.5373,                 1.5973,                0.69622,                0.54393,                0.61757,                0.29996,                 1.7608,                 1.7774,                 1.7448,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6809,                 1.5017,                 1.5883,                0.68628,                0.55293,                0.61628,                0.29581,                  1.746,                 1.6717,                 1.7147,               0.009307,               0.009307,               0.009307
                     17,                 1.6629,                 1.4773,                 1.5754,                0.71386,                0.55647,                0.62568,                0.30678,                 1.7606,                 1.6796,                 1.7015,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6606,                 1.4907,                 1.5728,                0.68932,                0.57422,                 0.6372,                 0.3058,                 1.7643,                 1.6414,                 1.7185,               0.009208,               0.009208,               0.009208
                     19,                 1.6428,                 1.4634,                  1.554,                0.70532,                0.56445,                0.63598,                0.31323,                 1.7297,                 1.6262,                 1.6806,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6438,                 1.4581,                 1.5635,                0.68371,                0.56399,                0.63475,                0.30969,                 1.7541,                 1.6665,                  1.699,               0.009109,               0.009109,               0.009109
                     21,                 1.6206,                 1.4409,                 1.5382,                0.71383,                0.56438,                0.64405,                0.31868,                 1.7198,                 1.7931,                 1.6931,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6187,                  1.412,                 1.5367,                0.70734,                0.57424,                0.64123,                0.31666,                 1.7088,                 1.6982,                 1.6795,                0.00901,                0.00901,                0.00901
                     23,                 1.6016,                 1.4008,                 1.5268,                0.71605,                0.56974,                0.65171,                0.32528,                 1.6904,                  1.691,                 1.6679,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5929,                 1.3996,                 1.5188,                 0.7262,                0.57468,                0.64859,                 0.3261,                 1.7144,                 1.5581,                 1.6786,               0.008911,               0.008911,               0.008911
                     25,                 1.6004,                 1.3883,                 1.5257,                0.70939,                0.58376,                0.64894,                0.32932,                 1.7044,                 1.5795,                 1.6604,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5884,                 1.3892,                 1.5178,                0.73326,                0.57625,                0.65411,                0.33356,                 1.6879,                 1.5528,                   1.65,               0.008812,               0.008812,               0.008812
                     27,                 1.5823,                 1.3718,                 1.5119,                0.73738,                0.58558,                0.65999,                0.33166,                 1.6742,                 1.5529,                 1.6485,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5742,                 1.3478,                 1.4971,                 0.7344,                0.59123,                0.66369,                0.33732,                 1.6869,                 1.5397,                 1.6461,               0.008713,               0.008713,               0.008713
                     29,                 1.5745,                 1.3533,                 1.5039,                0.72236,                0.59717,                0.67195,                0.33912,                 1.6753,                 1.5414,                 1.6378,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5599,                 1.3415,                 1.4994,                0.74257,                0.58804,                0.67721,                0.34243,                  1.683,                 1.4902,                 1.6515,               0.008614,               0.008614,               0.008614
                     31,                 1.5587,                   1.34,                  1.485,                0.72762,                0.59526,                0.66932,                0.33921,                 1.6862,                 1.5002,                 1.6355,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5444,                 1.3258,                 1.4901,                0.72989,                0.59657,                0.67642,                0.34174,                  1.658,                 1.5434,                 1.6297,               0.008515,               0.008515,               0.008515
                     33,                 1.5504,                 1.3285,                 1.4875,                0.74293,                0.58788,                0.68109,                0.34599,                 1.6611,                 1.4911,                 1.6192,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5391,                 1.3198,                 1.4768,                0.72205,                0.59479,                0.66814,                0.34049,                 1.6765,                 1.4929,                 1.6314,               0.008416,               0.008416,               0.008416
                     35,                 1.5292,                 1.3107,                  1.473,                 0.7257,                0.60232,                0.67457,                 0.3471,                 1.6525,                 1.4836,                 1.6147,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5287,                 1.3096,                 1.4692,                0.73929,                0.59771,                 0.6859,                0.35019,                 1.6475,                 1.4784,                 1.6134,               0.008317,               0.008317,               0.008317
                     37,                 1.5195,                 1.2961,                 1.4662,                0.70998,                0.60696,                0.68342,                0.35187,                 1.6397,                 1.4736,                 1.6021,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5105,                 1.2856,                 1.4624,                0.71329,                0.60867,                0.67796,                0.34975,                  1.654,                 1.4975,                 1.6123,               0.008218,               0.008218,               0.008218
                     39,                  1.513,                 1.2715,                 1.4527,                0.74299,                  0.607,                0.68891,                0.35753,                 1.6406,                 1.4546,                 1.6076,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.5144,                 1.2744,                  1.457,                0.72454,                0.61209,                0.68955,                0.35809,                   1.63,                 1.4816,                 1.6067,               0.008119,               0.008119,               0.008119
                     41,                 1.5116,                 1.2665,                 1.4497,                0.72891,                0.61017,                0.68842,                0.35423,                 1.6376,                 1.4416,                 1.5995,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.5111,                 1.2571,                 1.4511,                0.76094,                0.59374,                0.69222,                 0.3581,                 1.6596,                 1.4303,                    1.6,                0.00802,                0.00802,                0.00802
                     43,                 1.4909,                 1.2556,                 1.4356,                0.73616,                0.61054,                0.68884,                0.35519,                  1.629,                 1.4181,                  1.594,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4953,                 1.2475,                 1.4401,                0.73551,                0.62173,                0.69991,                 0.3629,                 1.6394,                 1.4219,                 1.5951,               0.007921,               0.007921,               0.007921
                     45,                 1.4862,                 1.2464,                 1.4403,                0.74372,                0.61372,                0.70064,                0.36234,                 1.6325,                  1.407,                 1.5935,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4898,                 1.2418,                 1.4373,                0.75554,                0.61226,                0.69559,                0.36495,                 1.6231,                 1.4317,                 1.5922,               0.007822,               0.007822,               0.007822
                     47,                 1.4831,                 1.2291,                 1.4293,                0.74718,                0.62183,                0.70629,                 0.3673,                 1.6301,                 1.4097,                 1.5823,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4699,                 1.2186,                 1.4189,                0.74676,                0.61365,                0.69456,                0.36669,                 1.6214,                 1.4185,                 1.5844,               0.007723,               0.007723,               0.007723
                     49,                 1.4793,                 1.2255,                 1.4305,                0.74069,                0.61687,                0.69641,                0.36927,                 1.6266,                  1.422,                  1.576,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4641,                 1.2161,                 1.4165,                0.74395,                0.62378,                0.70598,                0.37014,                 1.6085,                 1.4028,                 1.5684,               0.007624,               0.007624,               0.007624
                     51,                 1.4696,                 1.2107,                 1.4173,                0.73964,                0.62091,                0.70875,                0.37427,                 1.6165,                 1.3863,                 1.5725,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4627,                 1.2143,                 1.4193,                0.75197,                0.62811,                0.70423,                0.37104,                 1.6241,                  1.388,                 1.5852,               0.007525,               0.007525,               0.007525
                     53,                 1.4723,                 1.2149,                 1.4223,                0.74922,                0.61841,                0.70318,                0.37209,                 1.6135,                 1.3807,                 1.5802,              0.0074755,              0.0074755,              0.0074755
                     54,                  1.464,                 1.2048,                  1.414,                0.74268,                0.62252,                0.70394,                0.37244,                 1.6098,                 1.3962,                 1.5699,               0.007426,               0.007426,               0.007426
                     55,                 1.4555,                 1.1853,                 1.4075,                0.72756,                0.63212,                0.70461,                 0.3739,                 1.6068,                 1.3751,                 1.5715,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4517,                 1.1938,                 1.4058,                0.76396,                0.62426,                0.71031,                0.37845,                 1.5999,                 1.3729,                 1.5712,               0.007327,               0.007327,               0.007327
                     57,                 1.4587,                 1.1945,                 1.4144,                 0.7588,                0.62084,                0.71368,                0.37897,                 1.6067,                 1.3618,                 1.5615,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.4548,                 1.1924,                 1.4096,                0.74906,                0.63125,                0.71146,                0.37583,                 1.6129,                 1.3705,                 1.5635,               0.007228,               0.007228,               0.007228
                     59,                  1.445,                 1.1754,                 1.4007,                   0.74,                0.64391,                0.72046,                0.38404,                 1.6016,                 1.3679,                 1.5585,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4482,                 1.1836,                 1.4039,                0.75026,                0.62785,                0.71084,                0.37883,                 1.5962,                 1.3573,                 1.5607,               0.007129,               0.007129,               0.007129
                     61,                  1.438,                 1.1803,                 1.4005,                0.76655,                0.62242,                0.71118,                0.37958,                 1.5898,                 1.3827,                  1.554,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4369,                 1.1742,                 1.3981,                0.75235,                0.63384,                0.71805,                0.38596,                 1.5813,                 1.3552,                 1.5418,                0.00703,                0.00703,                0.00703
                     63,                 1.4422,                 1.1744,                 1.3994,                0.73893,                0.63533,                0.71536,                0.38381,                 1.5929,                 1.3503,                 1.5497,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.4296,                 1.1603,                 1.3914,                0.74975,                0.63163,                 0.7109,                0.38084,                 1.6021,                 1.3572,                  1.562,               0.006931,               0.006931,               0.006931
                     65,                  1.434,                  1.163,                 1.3874,                0.76233,                  0.631,                0.71865,                0.38612,                 1.5914,                 1.3507,                 1.5437,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.4297,                  1.166,                  1.392,                0.77012,                0.62186,                0.71249,                0.38232,                  1.588,                 1.3506,                 1.5487,               0.006832,               0.006832,               0.006832
                     67,                 1.4266,                 1.1587,                  1.385,                0.76288,                0.63953,                0.72268,                0.38529,                 1.6027,                 1.3364,                 1.5492,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.422,                 1.1505,                 1.3838,                0.75666,                0.63612,                0.71268,                0.38646,                  1.584,                 1.3454,                  1.545,               0.006733,               0.006733,               0.006733
                     69,                 1.4166,                 1.1314,                 1.3812,                0.75351,                0.63754,                0.72248,                0.38764,                 1.5804,                 1.3387,                 1.5409,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.4174,                 1.1405,                 1.3783,                0.75377,                0.63832,                0.71915,                0.38592,                 1.5878,                 1.3323,                 1.5498,               0.006634,               0.006634,               0.006634
                     71,                 1.4277,                 1.1596,                 1.3863,                0.74499,                 0.6417,                0.72337,                0.38926,                 1.5828,                 1.3315,                   1.54,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.4233,                 1.1451,                 1.3883,                0.77683,                0.62435,                0.72218,                0.39065,                 1.5746,                 1.3212,                 1.5412,               0.006535,               0.006535,               0.006535
                     73,                 1.4108,                 1.1277,                 1.3734,                0.74731,                 0.6484,                 0.7283,                0.39184,                 1.5842,                 1.3152,                 1.5396,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.4123,                 1.1334,                 1.3753,                0.76219,                0.64156,                0.72315,                0.39031,                 1.5776,                 1.3204,                 1.5379,               0.006436,               0.006436,               0.006436
                     75,                 1.4037,                  1.127,                 1.3728,                0.75249,                0.64954,                0.72381,                 0.3897,                 1.5791,                  1.319,                 1.5401,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.4064,                 1.1328,                 1.3729,                0.75631,                0.65089,                0.72298,                0.38995,                 1.5765,                 1.3188,                 1.5377,               0.006337,               0.006337,               0.006337
                     77,                 1.4099,                 1.1219,                 1.3706,                0.75455,                0.64108,                 0.7245,                0.38919,                 1.5838,                 1.3234,                 1.5391,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3938,                 1.1129,                 1.3646,                0.74394,                0.65606,                 0.7231,                0.39049,                 1.5874,                 1.3138,                 1.5403,               0.006238,               0.006238,               0.006238
                     79,                 1.3951,                  1.113,                 1.3616,                 0.7499,                0.65459,                0.73084,                0.39281,                 1.5813,                 1.3197,                 1.5343,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3914,                 1.1097,                 1.3617,                 0.7557,                0.64786,                0.72651,                 0.3923,                  1.572,                 1.3265,                 1.5345,               0.006139,               0.006139,               0.006139
                     81,                  1.398,                 1.1097,                 1.3617,                0.75269,                0.64989,                0.72419,                0.39184,                 1.5759,                 1.3075,                 1.5316,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3965,                 1.1125,                 1.3615,                0.75488,                 0.6495,                 0.7298,                0.39406,                 1.5807,                 1.3067,                 1.5382,                0.00604,                0.00604,                0.00604
