                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2912,                 4.0544,                 3.6841,                0.23422,                0.14136,                0.06854,                0.02132,                 2.8518,                 4.5086,                 3.1707,               0.070038,              0.0033291,              0.0033291
                      2,                  2.817,                  3.101,                 2.9986,                0.22917,                0.25864,                0.14329,                0.04737,                 2.4999,                 3.2048,                 2.8171,               0.039994,              0.0066185,              0.0066185
                      3,                 2.4617,                 2.7438,                 2.5934,                0.40593,                0.33646,                0.28743,                0.11287,                 2.2897,                 3.5699,                 2.5258,              0.0099062,              0.0098638,              0.0098638
                      4,                 2.2309,                 2.4341,                 2.2925,                0.46929,                0.38497,                0.37896,                0.15818,                 2.1336,                 2.5921,                 2.3428,               0.009802,               0.009802,               0.009802
                      5,                 2.0855,                  2.269,                 2.1377,                0.49001,                0.37472,                0.38682,                0.16449,                  2.042,                 2.4745,                 2.2449,               0.009802,               0.009802,               0.009802
                      6,                 2.0113,                 2.1499,                 2.0591,                0.53036,                  0.448,                 0.4675,                0.20171,                 1.9835,                 2.3458,                 2.1785,               0.009736,               0.009736,               0.009736
                      7,                 1.9547,                 2.0423,                 1.9785,                0.57036,                0.47662,                0.49829,                0.22592,                 1.9084,                  2.178,                  2.094,                0.00967,                0.00967,                0.00967
                      8,                 1.9064,                 1.9615,                  1.925,                0.58694,                0.49309,                0.50201,                0.22582,                 1.9112,                 2.3334,                 2.0755,               0.009604,               0.009604,               0.009604
                      9,                 1.8729,                 1.8947,                 1.8904,                0.61443,                0.51929,                 0.5429,                0.24408,                 1.8798,                 2.0416,                 2.0333,               0.009538,               0.009538,               0.009538
                     10,                 1.8435,                 1.8806,                 1.8619,                0.61587,                0.50094,                0.54475,                0.25178,                  1.863,                 2.0415,                 2.0225,               0.009472,               0.009472,               0.009472
                     11,                 1.8212,                  1.834,                 1.8452,                0.61844,                0.52146,                0.55516,                0.26255,                 1.8434,                 2.1433,                 1.9951,               0.009406,               0.009406,               0.009406
                     12,                 1.8015,                 1.7998,                 1.8085,                  0.651,                 0.5308,                0.58549,                0.27946,                 1.8234,                 1.9994,                 1.9607,                0.00934,                0.00934,                0.00934
                     13,                 1.7827,                 1.7738,                 1.8035,                 0.6396,                 0.5392,                0.58934,                0.28489,                 1.8031,                 2.0972,                 1.9398,               0.009274,               0.009274,               0.009274
                     14,                 1.7715,                  1.756,                 1.7898,                0.66667,                 0.5161,                0.59389,                0.28154,                 1.8018,                 2.1405,                 1.9177,               0.009208,               0.009208,               0.009208
                     15,                 1.7499,                 1.7097,                 1.7597,                0.66296,                0.54694,                0.61075,                0.29778,                  1.785,                 1.8989,                 1.9001,               0.009142,               0.009142,               0.009142
                     16,                 1.7352,                 1.6788,                 1.7434,                0.66151,                0.53685,                0.59661,                 0.2924,                   1.76,                 1.8605,                 1.8932,               0.009076,               0.009076,               0.009076
                     17,                 1.7142,                 1.6553,                 1.7313,                0.67992,                0.55041,                0.61824,                 0.3086,                 1.7643,                 1.8924,                   1.88,                0.00901,                0.00901,                0.00901
                     18,                  1.718,                 1.6491,                 1.7294,                0.67995,                0.55724,                0.62457,                0.31245,                 1.7608,                 1.8016,                 1.8752,               0.008944,               0.008944,               0.008944
                     19,                  1.703,                  1.613,                 1.7048,                0.69968,                0.53917,                0.62788,                0.31105,                  1.735,                 1.9827,                 1.8517,               0.008878,               0.008878,               0.008878
                     20,                 1.7038,                 1.6219,                 1.7157,                0.67764,                0.57497,                0.63643,                0.32045,                 1.7468,                 1.9198,                 1.8623,               0.008812,               0.008812,               0.008812
                     21,                  1.681,                 1.5865,                 1.6934,                0.69496,                0.57045,                 0.6415,                0.32028,                  1.732,                 1.8715,                 1.8601,               0.008746,               0.008746,               0.008746
                     22,                 1.6784,                 1.5777,                 1.6888,                 0.7067,                0.57086,                0.64552,                0.32695,                 1.7249,                 1.8003,                 1.8422,                0.00868,                0.00868,                0.00868
                     23,                 1.6629,                   1.56,                 1.6803,                 0.6628,                0.55577,                0.62173,                 0.3115,                 1.7299,                 1.8155,                 1.8517,               0.008614,               0.008614,               0.008614
                     24,                  1.657,                 1.5477,                 1.6692,                0.71465,                0.57864,                0.65695,                0.33094,                 1.7096,                   1.79,                 1.8266,               0.008548,               0.008548,               0.008548
                     25,                 1.6519,                  1.537,                 1.6692,                0.71189,                0.56514,                 0.6461,                 0.3271,                 1.7163,                 1.7796,                 1.8278,               0.008482,               0.008482,               0.008482
                     26,                 1.6474,                 1.5337,                 1.6579,                  0.694,                0.55892,                0.63573,                0.32507,                 1.6916,                 1.7066,                 1.7997,               0.008416,               0.008416,               0.008416
                     27,                  1.637,                 1.5072,                 1.6487,                 0.7021,                0.58336,                0.66053,                0.33422,                 1.6947,                 1.7518,                 1.7955,                0.00835,                0.00835,                0.00835
                     28,                 1.6362,                 1.4904,                 1.6335,                0.70553,                0.57994,                0.66028,                0.33744,                 1.6956,                 1.7471,                 1.7932,               0.008284,               0.008284,               0.008284
                     29,                 1.6256,                 1.4908,                 1.6348,                0.69865,                0.57081,                0.65533,                0.33199,                 1.6945,                 1.7293,                 1.7923,               0.008218,               0.008218,               0.008218
                     30,                 1.6189,                 1.4789,                 1.6286,                0.70706,                0.58374,                 0.6651,                0.33879,                 1.6868,                  1.822,                 1.7814,               0.008152,               0.008152,               0.008152
                     31,                 1.6098,                 1.4737,                 1.6206,                0.70158,                0.58441,                0.65921,                0.33563,                 1.6849,                 1.6964,                 1.7766,               0.008086,               0.008086,               0.008086
                     32,                 1.5976,                  1.458,                 1.6167,                0.71354,                0.59266,                 0.6803,                0.35421,                  1.663,                 1.6941,                 1.7609,                0.00802,                0.00802,                0.00802
                     33,                 1.6074,                 1.4527,                 1.6209,                0.70649,                0.59539,                0.67554,                0.34773,                 1.6821,                 1.6983,                 1.7844,               0.007954,               0.007954,               0.007954
                     34,                 1.5931,                 1.4481,                 1.6074,                0.69815,                0.59639,                0.67529,                0.35081,                 1.6551,                 1.6735,                 1.7538,               0.007888,               0.007888,               0.007888
                     35,                 1.5922,                 1.4437,                 1.6058,                0.72016,                0.59108,                0.67223,                0.34919,                 1.6693,                 1.6859,                 1.7652,               0.007822,               0.007822,               0.007822
                     36,                 1.5884,                 1.4371,                 1.5971,                0.71893,                0.60054,                0.68014,                0.34781,                 1.6663,                 1.6194,                 1.7568,               0.007756,               0.007756,               0.007756
                     37,                 1.5793,                 1.4274,                 1.5938,                0.70066,                0.59721,                0.68051,                 0.3552,                 1.6513,                 1.6148,                 1.7314,                0.00769,                0.00769,                0.00769
                     38,                 1.5674,                 1.4192,                 1.5878,                0.70649,                0.60211,                0.67771,                 0.3539,                 1.6475,                 1.5843,                 1.7491,               0.007624,               0.007624,               0.007624
                     39,                 1.5633,                 1.3932,                 1.5786,                0.73288,                0.59504,                0.68474,                0.35936,                 1.6656,                   1.64,                 1.7584,               0.007558,               0.007558,               0.007558
                     40,                 1.5697,                 1.4089,                 1.5832,                0.70322,                0.60306,                0.68242,                 0.3567,                 1.6472,                 1.6199,                 1.7322,               0.007492,               0.007492,               0.007492
                     41,                 1.5725,                 1.3999,                 1.5782,                0.71612,                0.59921,                 0.6858,                0.35295,                 1.6617,                 1.6004,                 1.7468,               0.007426,               0.007426,               0.007426
                     42,                 1.5655,                 1.3795,                 1.5754,                0.73086,                0.59815,                0.68778,                0.35915,                 1.6489,                 1.5845,                 1.7252,                0.00736,                0.00736,                0.00736
                     43,                 1.5476,                 1.3754,                 1.5577,                0.72271,                0.60182,                0.68611,                0.35829,                 1.6524,                 1.5756,                 1.7375,               0.007294,               0.007294,               0.007294
                     44,                 1.5521,                 1.3747,                  1.566,                0.72866,                0.60064,                0.68988,                0.36271,                 1.6428,                 1.6356,                 1.7265,               0.007228,               0.007228,               0.007228
                     45,                 1.5471,                 1.3751,                 1.5631,                0.71975,                0.61691,                0.69397,                0.36114,                 1.6322,                 1.5613,                 1.7115,               0.007162,               0.007162,               0.007162
                     46,                 1.5461,                 1.3613,                 1.5563,                 0.7251,                0.61681,                0.69617,                0.36623,                 1.6349,                 1.5903,                 1.7187,               0.007096,               0.007096,               0.007096
                     47,                 1.5377,                  1.345,                 1.5495,                0.72581,                0.60803,                0.69085,                0.36426,                 1.6284,                 1.5885,                 1.7154,                0.00703,                0.00703,                0.00703
                     48,                 1.5292,                 1.3385,                 1.5422,                0.73566,                0.60601,                0.69944,                0.36986,                 1.6326,                  1.579,                 1.7127,               0.006964,               0.006964,               0.006964
                     49,                 1.5284,                 1.3446,                 1.5474,                 0.7214,                0.61551,                0.69978,                0.36993,                 1.6413,                  1.613,                 1.7187,               0.006898,               0.006898,               0.006898
                     50,                 1.5264,                 1.3365,                 1.5411,                0.73069,                0.62167,                0.70744,                0.37516,                 1.6175,                 1.6056,                 1.7059,               0.006832,               0.006832,               0.006832
                     51,                 1.5233,                 1.3293,                 1.5365,                0.72882,                0.61371,                0.70286,                0.37144,                 1.6317,                 1.5541,                 1.7144,               0.006766,               0.006766,               0.006766
                     52,                 1.5201,                 1.3279,                 1.5391,                0.72031,                0.62036,                 0.6987,                0.37206,                 1.6237,                 1.5339,                    1.7,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.5259,                 1.3165,                 1.5351,                0.73177,                0.62338,                0.69922,                0.36951,                 1.6249,                 1.5501,                 1.7136,               0.006634,               0.006634,               0.006634
                     54,                 1.5195,                 1.3202,                 1.5314,                 0.7342,                0.61313,                0.70371,                0.36936,                 1.6283,                 1.5749,                 1.7092,               0.006568,               0.006568,               0.006568
                     55,                 1.5086,                 1.3005,                  1.527,                 0.7391,                0.61448,                 0.7014,                 0.3711,                 1.6164,                 1.5326,                 1.7027,               0.006502,               0.006502,               0.006502
                     56,                 1.5105,                 1.3037,                 1.5243,                0.74215,                0.61634,                0.70887,                0.37732,                 1.6171,                 1.5431,                 1.6994,               0.006436,               0.006436,               0.006436
                     57,                 1.5107,                 1.3035,                 1.5219,                0.72229,                0.62486,                0.70321,                0.37046,                 1.6178,                 1.5639,                 1.6971,                0.00637,                0.00637,                0.00637
                     58,                 1.5083,                 1.2916,                  1.522,                 0.7264,                0.61326,                0.69902,                0.36803,                   1.62,                 1.5478,                 1.6975,               0.006304,               0.006304,               0.006304
                     59,                 1.5038,                 1.2815,                 1.5163,                0.72779,                0.62237,                0.70688,                0.37381,                 1.6065,                 1.5325,                 1.6826,               0.006238,               0.006238,               0.006238
                     60,                 1.5062,                 1.2962,                 1.5201,                0.74328,                0.62072,                0.71002,                0.38249,                 1.5971,                 1.4939,                 1.6831,               0.006172,               0.006172,               0.006172
                     61,                 1.4912,                 1.2895,                 1.5159,                0.74383,                0.62227,                0.71445,                0.38308,                 1.6024,                 1.5395,                 1.6824,               0.006106,               0.006106,               0.006106
                     62,                 1.4908,                 1.2795,                 1.5151,                0.74361,                0.63192,                 0.7139,                0.38203,                 1.6081,                 1.5007,                 1.6832,                0.00604,                0.00604,                0.00604
                     63,                 1.4951,                 1.2806,                 1.5094,                0.73792,                0.61985,                0.70821,                0.38007,                 1.6052,                 1.4755,                 1.6784,               0.005974,               0.005974,               0.005974
                     64,                 1.4885,                   1.27,                 1.5024,                0.73532,                0.62789,                0.71465,                0.38083,                 1.6125,                  1.506,                  1.686,               0.005908,               0.005908,               0.005908
                     65,                 1.4866,                 1.2652,                 1.5006,                0.73545,                0.61604,                0.70677,                0.37859,                 1.6086,                 1.5114,                 1.6835,               0.005842,               0.005842,               0.005842
                     66,                 1.4846,                 1.2682,                  1.505,                0.73128,                0.63835,                0.71831,                0.38711,                 1.5915,                 1.4729,                 1.6695,               0.005776,               0.005776,               0.005776
                     67,                 1.4813,                 1.2693,                 1.5026,                0.73686,                0.62979,                0.71721,                0.38388,                 1.5965,                 1.4824,                 1.6719,                0.00571,                0.00571,                0.00571
                     68,                 1.4785,                 1.2563,                 1.4979,                0.74132,                0.62255,                0.71509,                0.38495,                 1.6013,                 1.4675,                 1.6776,               0.005644,               0.005644,               0.005644
                     69,                 1.4717,                 1.2418,                 1.4926,                0.74591,                0.63144,                0.72243,                0.39041,                 1.5821,                 1.4711,                 1.6627,               0.005578,               0.005578,               0.005578
                     70,                 1.4683,                 1.2469,                 1.4826,                0.75229,                0.62702,                0.71861,                0.38912,                 1.5985,                 1.4666,                 1.6713,               0.005512,               0.005512,               0.005512
                     71,                 1.4709,                 1.2498,                 1.4915,                0.73615,                 0.6388,                0.72069,                0.39061,                 1.5864,                 1.4509,                 1.6629,               0.005446,               0.005446,               0.005446
                     72,                 1.4759,                 1.2511,                  1.494,                0.74358,                0.64868,                0.72538,                0.39535,                 1.5869,                 1.4386,                 1.6621,                0.00538,                0.00538,                0.00538
                     73,                  1.464,                 1.2278,                 1.4804,                0.72613,                0.64479,                0.72158,                0.38942,                 1.5973,                 1.4486,                 1.6666,               0.005314,               0.005314,               0.005314
                     74,                 1.4626,                 1.2357,                 1.4839,                0.74479,                0.63688,                0.72278,                0.39159,                 1.5896,                 1.4578,                  1.666,               0.005248,               0.005248,               0.005248
                     75,                 1.4572,                 1.2198,                 1.4753,                0.75135,                0.63467,                 0.7264,                0.39392,                 1.5939,                 1.4492,                 1.6643,               0.005182,               0.005182,               0.005182
                     76,                 1.4592,                  1.223,                 1.4788,                0.76369,                0.63048,                0.72856,                0.39393,                 1.5875,                 1.4504,                 1.6638,               0.005116,               0.005116,               0.005116
                     77,                 1.4593,                 1.2173,                 1.4718,                0.75351,                0.62802,                0.72178,                0.39155,                 1.5849,                 1.4496,                 1.6569,                0.00505,                0.00505,                0.00505
                     78,                 1.4515,                 1.2065,                 1.4735,                0.75064,                0.63437,                0.72409,                 0.3915,                 1.5938,                 1.4391,                 1.6658,               0.004984,               0.004984,               0.004984
                     79,                 1.4475,                 1.1993,                 1.4662,                0.74543,                0.63816,                0.72431,                0.39265,                 1.5877,                 1.4426,                 1.6581,               0.004918,               0.004918,               0.004918
                     80,                 1.4448,                 1.2058,                 1.4657,                0.74525,                0.64202,                0.72753,                0.39499,                 1.5908,                 1.4495,                 1.6629,               0.004852,               0.004852,               0.004852
                     81,                  1.447,                 1.2042,                 1.4636,                0.75598,                0.63326,                0.72905,                0.39782,                 1.5861,                 1.4238,                 1.6588,               0.004786,               0.004786,               0.004786
                     82,                 1.4485,                 1.2084,                 1.4689,                 0.7531,                0.64106,                0.72965,                 0.3963,                 1.5877,                 1.4346,                 1.6588,                0.00472,                0.00472,                0.00472
                     83,                 1.4382,                 1.1882,                 1.4593,                0.75555,                0.64375,                0.73225,                 0.3985,                 1.5854,                 1.4147,                 1.6554,               0.004654,               0.004654,               0.004654
                     84,                 1.4506,                 1.2017,                  1.464,                0.75404,                0.64063,                0.73075,                 0.3997,                 1.5781,                  1.408,                  1.645,               0.004588,               0.004588,               0.004588
                     85,                 1.4365,                 1.1965,                 1.4548,                0.74671,                0.65023,                0.73144,                0.40014,                 1.5803,                 1.4164,                 1.6485,               0.004522,               0.004522,               0.004522
                     86,                 1.4314,                 1.1714,                 1.4456,                 0.7446,                0.64656,                0.73077,                0.40117,                 1.5849,                 1.4171,                 1.6468,               0.004456,               0.004456,               0.004456
                     87,                 1.4252,                 1.1851,                 1.4531,                0.75155,                0.64444,                0.73335,                0.40172,                  1.582,                 1.4204,                 1.6527,                0.00439,                0.00439,                0.00439
                     88,                   1.43,                 1.1897,                 1.4523,                0.75131,                0.64396,                0.73568,                0.40087,                 1.5847,                 1.4042,                 1.6541,               0.004324,               0.004324,               0.004324
                     89,                 1.4312,                 1.1823,                 1.4518,                0.75438,                0.64606,                0.73642,                0.40365,                 1.5826,                 1.3971,                 1.6475,               0.004258,               0.004258,               0.004258
                     90,                 1.4252,                 1.1813,                 1.4515,                 0.7534,                0.64677,                0.73429,                0.40033,                 1.5854,                 1.3956,                 1.6547,               0.004192,               0.004192,               0.004192
                     91,                 1.4175,                 1.1721,                  1.444,                0.76267,                0.64914,                0.73626,                0.40468,                  1.576,                 1.4043,                 1.6475,               0.004126,               0.004126,               0.004126
                     92,                 1.4188,                 1.1705,                 1.4403,                0.74579,                0.65458,                0.73487,                0.40139,                 1.5803,                  1.395,                 1.6467,                0.00406,                0.00406,                0.00406
                     93,                 1.4195,                 1.1616,                  1.444,                0.77122,                0.64216,                0.73859,                 0.4033,                 1.5773,                 1.3883,                 1.6429,               0.003994,               0.003994,               0.003994
                     94,                 1.4072,                 1.1603,                 1.4311,                0.75907,                0.64559,                 0.7368,                0.40429,                 1.5759,                 1.3924,                 1.6405,               0.003928,               0.003928,               0.003928
                     95,                 1.4035,                 1.1663,                 1.4367,                0.74575,                0.65513,                0.73953,                0.40566,                 1.5773,                 1.4028,                 1.6383,               0.003862,               0.003862,               0.003862
                     96,                 1.4092,                 1.1588,                 1.4343,                0.76889,                  0.643,                0.73939,                0.40681,                  1.576,                 1.3961,                 1.6423,               0.003796,               0.003796,               0.003796
                     97,                 1.4076,                 1.1564,                 1.4342,                0.76246,                0.64567,                0.73716,                0.40549,                 1.5787,                   1.39,                 1.6379,                0.00373,                0.00373,                0.00373
                     98,                 1.3993,                 1.1338,                 1.4247,                0.74779,                 0.6631,                0.74112,                0.40733,                  1.583,                 1.3852,                 1.6423,               0.003664,               0.003664,               0.003664
                     99,                 1.3916,                 1.1408,                 1.4265,                0.75915,                0.65677,                0.73958,                 0.4079,                 1.5776,                 1.4012,                 1.6408,               0.003598,               0.003598,               0.003598
                    100,                 1.4012,                 1.1448,                 1.4344,                0.76404,                0.64956,                0.73889,                0.40789,                 1.5767,                 1.3967,                 1.6397,               0.003532,               0.003532,               0.003532
                    101,                 1.3939,                 1.1325,                 1.4193,                0.75831,                0.65475,                0.74072,                0.40703,                 1.5814,                 1.3799,                 1.6403,               0.003466,               0.003466,               0.003466
                    102,                  1.406,                  1.139,                 1.4283,                0.75748,                0.65531,                0.74086,                0.40787,                 1.5818,                 1.3739,                 1.6419,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.3839,                 1.1291,                 1.4242,                0.75781,                0.65574,                0.74385,                0.40965,                 1.5824,                 1.3701,                 1.6444,               0.003334,               0.003334,               0.003334
                    104,                 1.3891,                 1.1126,                 1.4148,                0.76691,                0.64676,                 0.7412,                0.40542,                 1.5858,                 1.3761,                 1.6445,               0.003268,               0.003268,               0.003268
                    105,                 1.3929,                 1.1289,                 1.4157,                 0.7708,                  0.644,                 0.7424,                0.40771,                 1.5832,                 1.3746,                 1.6424,               0.003202,               0.003202,               0.003202
                    106,                 1.3935,                 1.1311,                 1.4202,                0.77078,                0.64619,                0.74425,                0.40995,                 1.5776,                 1.3651,                 1.6398,               0.003136,               0.003136,               0.003136
                    107,                  1.385,                 1.1319,                 1.4172,                0.76404,                0.64738,                0.74307,                0.40887,                 1.5811,                 1.3558,                 1.6432,                0.00307,                0.00307,                0.00307
                    108,                 1.3844,                 1.1064,                 1.4101,                 0.7672,                0.65393,                0.74607,                0.41051,                  1.579,                 1.3529,                 1.6451,               0.003004,               0.003004,               0.003004
                    109,                 1.3855,                 1.1141,                 1.4157,                0.76554,                0.65735,                0.74454,                0.41035,                 1.5795,                 1.3515,                 1.6435,               0.002938,               0.002938,               0.002938
                    110,                 1.3801,                 1.1056,                 1.4094,                0.75775,                0.65943,                0.74609,                0.40992,                 1.5802,                 1.3589,                   1.64,               0.002872,               0.002872,               0.002872
                    111,                 1.3712,                 1.1094,                 1.4039,                0.77439,                0.65196,                0.74574,                0.41121,                 1.5824,                 1.3533,                 1.6403,               0.002806,               0.002806,               0.002806
