                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3419,                 4.1071,                 3.7908,                0.15747,                 0.1011,                0.07108,                0.02128,                  2.856,                 4.6263,                  3.269,               0.070038,              0.0033291,              0.0033291
                      2,                 2.8775,                 3.1377,                 3.0799,                0.14071,                  0.236,                0.07465,                0.02493,                 2.5457,                 4.0908,                 2.8809,               0.039972,              0.0065965,              0.0065965
                      3,                 2.5148,                 2.7862,                 2.6755,                0.32741,                0.34375,                0.26922,                0.09877,                    2.3,                  3.019,                 2.5936,              0.0098402,              0.0097978,              0.0097978
                      4,                 2.2649,                 2.4896,                 2.3518,                0.40879,                0.38319,                0.33117,                0.13486,                 2.1248,                 2.8258,                 2.3708,               0.009703,               0.009703,               0.009703
                      5,                 2.1147,                 2.2892,                 2.1844,                0.49009,                0.40407,                0.41248,                0.17637,                 2.0462,                 2.6371,                 2.2527,               0.009703,               0.009703,               0.009703
                      6,                 2.0266,                 2.1699,                 2.0781,                 0.5355,                0.43646,                0.45659,                0.20018,                 1.9686,                 2.3531,                 2.1907,               0.009604,               0.009604,               0.009604
                      7,                 1.9625,                 2.0535,                  1.999,                0.58076,                0.46177,                0.49486,                0.22485,                 1.9284,                 2.3363,                 2.1077,               0.009505,               0.009505,               0.009505
                      8,                 1.9145,                 1.9734,                 1.9411,                0.56834,                0.49084,                0.49446,                0.22645,                 1.8923,                  2.332,                 2.0755,               0.009406,               0.009406,               0.009406
                      9,                 1.8801,                  1.916,                 1.9064,                0.60758,                0.51663,                0.54997,                0.25495,                 1.8696,                 2.0212,                 2.0398,               0.009307,               0.009307,               0.009307
                     10,                 1.8531,                 1.8761,                 1.8797,                0.61005,                0.50101,                0.55395,                0.26318,                 1.8363,                 2.0942,                 2.0091,               0.009208,               0.009208,               0.009208
                     11,                 1.8188,                 1.8255,                 1.8547,                0.67094,                0.49129,                0.56958,                0.26359,                 1.8414,                 1.9555,                 1.9815,               0.009109,               0.009109,               0.009109
                     12,                 1.7939,                 1.7939,                 1.8139,                0.66119,                0.52953,                0.58676,                 0.2847,                 1.8047,                 1.9115,                 1.9533,                0.00901,                0.00901,                0.00901
                     13,                 1.7878,                 1.7676,                 1.8101,                0.66413,                0.54306,                0.60524,                0.29011,                 1.8024,                 1.9437,                  1.953,               0.008911,               0.008911,               0.008911
                     14,                 1.7706,                  1.737,                 1.8022,                0.66845,                 0.5441,                0.60555,                0.28892,                 1.7923,                 2.0149,                 1.9393,               0.008812,               0.008812,               0.008812
                     15,                 1.7502,                  1.705,                 1.7717,                0.66927,                0.55087,                0.60698,                0.29493,                 1.7811,                 2.0673,                 1.9137,               0.008713,               0.008713,               0.008713
                     16,                 1.7341,                 1.6617,                 1.7588,                0.68239,                0.53476,                0.61084,                0.29992,                 1.7535,                 1.8802,                  1.908,               0.008614,               0.008614,               0.008614
                     17,                 1.7138,                 1.6377,                 1.7428,                0.67079,                0.54698,                0.60826,                0.30119,                 1.7701,                 1.9796,                 1.9102,               0.008515,               0.008515,               0.008515
                     18,                 1.7188,                 1.6312,                 1.7446,                0.67706,                0.56172,                0.62428,                0.31036,                  1.761,                 1.8523,                  1.888,               0.008416,               0.008416,               0.008416
                     19,                 1.6982,                 1.6013,                 1.7239,                0.71981,                0.55478,                 0.6459,                0.31902,                 1.7405,                 1.8842,                 1.8844,               0.008317,               0.008317,               0.008317
                     20,                 1.6961,                 1.5993,                 1.7227,                0.70951,                0.56684,                0.63752,                0.31651,                   1.75,                 1.8178,                 1.8761,               0.008218,               0.008218,               0.008218
                     21,                 1.6722,                 1.5693,                 1.6955,                0.71359,                0.56964,                0.64965,                0.32281,                 1.7439,                 1.7612,                 1.8647,               0.008119,               0.008119,               0.008119
                     22,                 1.6696,                  1.547,                 1.6906,                0.71413,                0.57543,                0.64765,                0.33059,                 1.7031,                 1.8328,                 1.8355,                0.00802,                0.00802,                0.00802
                     23,                 1.6543,                 1.5254,                 1.6806,                0.70536,                0.57702,                0.64752,                0.32756,                 1.6951,                 1.7671,                 1.8321,               0.007921,               0.007921,               0.007921
                     24,                 1.6441,                 1.5171,                 1.6666,                  0.724,                 0.5837,                0.66633,                0.33749,                 1.7018,                 1.7135,                 1.8324,               0.007822,               0.007822,               0.007822
                     25,                 1.6385,                 1.5078,                 1.6634,                0.69528,                0.59193,                0.65799,                0.33532,                 1.6979,                 1.7399,                 1.8104,               0.007723,               0.007723,               0.007723
                     26,                 1.6337,                 1.5049,                  1.658,                0.71365,                0.58338,                0.66394,                0.34179,                 1.6776,                 1.6836,                 1.7937,               0.007624,               0.007624,               0.007624
                     27,                 1.6263,                 1.4874,                  1.651,                0.71188,                0.58448,                0.66298,                0.33595,                 1.6921,                 1.7415,                 1.8113,               0.007525,               0.007525,               0.007525
                     28,                  1.619,                 1.4615,                 1.6327,                0.70947,                0.59256,                0.67456,                0.34518,                  1.691,                 1.7172,                 1.8024,               0.007426,               0.007426,               0.007426
                     29,                 1.6119,                 1.4557,                  1.637,                0.72602,                0.59337,                0.67972,                0.34582,                 1.6964,                 1.6582,                 1.7992,               0.007327,               0.007327,               0.007327
                     30,                 1.6028,                 1.4599,                 1.6367,                0.70427,                0.60945,                0.68295,                0.35415,                 1.6726,                 1.6059,                 1.7831,               0.007228,               0.007228,               0.007228
                     31,                 1.6002,                 1.4467,                 1.6239,                0.73883,                0.57516,                0.67004,                0.34187,                 1.6904,                 1.6273,                 1.7893,               0.007129,               0.007129,               0.007129
                     32,                 1.5811,                 1.4195,                  1.617,                0.72901,                0.60085,                0.68813,                0.35903,                 1.6642,                 1.6222,                 1.7827,                0.00703,                0.00703,                0.00703
                     33,                 1.5907,                 1.4246,                  1.622,                 0.7161,                0.61143,                0.69295,                 0.3596,                  1.663,                 1.5883,                 1.7746,               0.006931,               0.006931,               0.006931
                     34,                 1.5783,                 1.4062,                 1.6109,                0.71977,                0.60959,                0.68821,                0.35586,                 1.6697,                 1.5881,                 1.7671,               0.006832,               0.006832,               0.006832
                     35,                 1.5769,                 1.4097,                 1.6098,                0.72634,                0.60743,                0.69086,                0.36057,                 1.6541,                 1.5995,                 1.7652,               0.006733,               0.006733,               0.006733
                     36,                 1.5666,                 1.4062,                 1.5928,                0.73084,                0.60447,                0.69157,                  0.356,                 1.6697,                 1.6252,                 1.7689,               0.006634,               0.006634,               0.006634
                     37,                 1.5564,                 1.4012,                 1.5962,                0.73939,                 0.5994,                0.69062,                0.35762,                  1.652,                 1.5785,                 1.7597,               0.006535,               0.006535,               0.006535
                     38,                 1.5497,                 1.3758,                 1.5893,                0.73283,                 0.6152,                0.69684,                0.36534,                 1.6559,                 1.6031,                 1.7604,               0.006436,               0.006436,               0.006436
                     39,                 1.5452,                 1.3582,                 1.5785,                0.73966,                0.61017,                0.70009,                0.36671,                 1.6599,                 1.5841,                 1.7635,               0.006337,               0.006337,               0.006337
                     40,                 1.5498,                 1.3642,                 1.5801,                0.71989,                0.61597,                0.69971,                0.36805,                  1.645,                 1.5604,                 1.7545,               0.006238,               0.006238,               0.006238
                     41,                 1.5475,                 1.3585,                  1.577,                0.72846,                  0.614,                0.69868,                0.36861,                 1.6368,                 1.5485,                 1.7409,               0.006139,               0.006139,               0.006139
                     42,                 1.5395,                 1.3476,                 1.5736,                0.74566,                0.61519,                0.70335,                0.36954,                 1.6472,                 1.5301,                 1.7361,                0.00604,                0.00604,                0.00604
                     43,                 1.5314,                 1.3331,                 1.5569,                0.73639,                0.62103,                0.70761,                0.37232,                 1.6435,                 1.5157,                 1.7392,               0.005941,               0.005941,               0.005941
                     44,                 1.5287,                 1.3369,                 1.5573,                0.74137,                0.61083,                0.70351,                0.36612,                 1.6423,                   1.57,                 1.7364,               0.005842,               0.005842,               0.005842
                     45,                 1.5227,                 1.3346,                 1.5632,                0.73717,                0.62308,                0.71227,                 0.3752,                 1.6288,                 1.5204,                 1.7335,               0.005743,               0.005743,               0.005743
                     46,                 1.5205,                 1.3192,                 1.5558,                0.73825,                0.63415,                0.71255,                0.37796,                 1.6216,                 1.5423,                 1.7281,               0.005644,               0.005644,               0.005644
                     47,                 1.5181,                 1.3079,                 1.5477,                0.74386,                0.61928,                0.71161,                0.37414,                 1.6283,                 1.5413,                 1.7266,               0.005545,               0.005545,               0.005545
                     48,                 1.5087,                 1.2944,                 1.5419,                0.72894,                0.63064,                0.71349,                0.37692,                 1.6348,                 1.4963,                 1.7295,               0.005446,               0.005446,               0.005446
                     49,                 1.5077,                 1.3042,                 1.5479,                0.73901,                 0.6235,                0.71085,                0.37881,                 1.6315,                 1.5139,                 1.7271,               0.005347,               0.005347,               0.005347
                     50,                 1.4981,                 1.2905,                 1.5383,                 0.7348,                 0.6287,                 0.7099,                0.38533,                 1.6082,                 1.5021,                 1.7249,               0.005248,               0.005248,               0.005248
                     51,                  1.498,                 1.2805,                 1.5357,                0.73809,                0.63035,                0.71395,                0.38098,                 1.6267,                 1.5002,                 1.7219,               0.005149,               0.005149,               0.005149
                     52,                 1.4937,                  1.287,                 1.5345,                0.74147,                0.63109,                0.71431,                0.38235,                 1.6232,                 1.4885,                 1.7204,                0.00505,                0.00505,                0.00505
                     53,                  1.504,                 1.2833,                 1.5346,                0.74574,                0.63044,                0.71575,                0.38259,                  1.615,                 1.4884,                 1.7125,               0.004951,               0.004951,               0.004951
                     54,                 1.4911,                 1.2785,                 1.5253,                0.75159,                0.63071,                0.72077,                0.38413,                 1.6126,                 1.4794,                 1.7083,               0.004852,               0.004852,               0.004852
                     55,                 1.4774,                 1.2522,                 1.5179,                0.73821,                0.64423,                0.72311,                0.38823,                 1.6078,                  1.467,                 1.7083,               0.004753,               0.004753,               0.004753
                     56,                 1.4801,                 1.2535,                 1.5173,                0.74048,                0.63865,                0.72335,                0.38855,                 1.6112,                 1.4525,                 1.7094,               0.004654,               0.004654,               0.004654
                     57,                 1.4846,                  1.258,                 1.5194,                0.74607,                 0.6375,                0.72333,                0.38884,                 1.6072,                 1.4361,                 1.6996,               0.004555,               0.004555,               0.004555
                     58,                 1.4818,                 1.2445,                 1.5172,                0.74202,                0.63646,                0.72191,                0.38666,                 1.6144,                 1.4637,                  1.711,               0.004456,               0.004456,               0.004456
                     59,                 1.4668,                 1.2308,                  1.505,                0.72399,                 0.6381,                0.71704,                 0.3826,                 1.6073,                 1.4817,                 1.6989,               0.004357,               0.004357,               0.004357
                     60,                 1.4745,                 1.2427,                 1.5108,                0.76147,                0.62569,                0.72355,                 0.3911,                 1.5998,                 1.4801,                 1.7009,               0.004258,               0.004258,               0.004258
                     61,                 1.4623,                 1.2342,                 1.5108,                 0.7653,                0.62152,                0.72593,                0.39016,                 1.6046,                 1.4618,                 1.6994,               0.004159,               0.004159,               0.004159
                     62,                 1.4613,                 1.2267,                 1.5087,                0.76336,                0.63268,                0.72642,                0.39166,                 1.6043,                 1.4488,                 1.7038,                0.00406,                0.00406,                0.00406
