                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5373,                  3.785,                 3.7035,                0.10177,                0.11557,                0.04766,                0.01268,                 3.0877,                 4.0517,                 3.1532,               0.070038,              0.0033291,              0.0033291
                      2,                 2.9981,                 2.8919,                 2.9234,                0.10149,                0.23415,                0.05209,                0.01597,                  2.714,                 3.5079,                 2.6869,               0.040005,              0.0066295,              0.0066295
                      3,                 2.5396,                 2.4905,                 2.4478,                0.37124,                0.33719,                0.27624,                0.10371,                 2.3454,                 2.7784,                  2.333,              0.0099392,              0.0098968,              0.0098968
                      4,                 2.2329,                  2.192,                 2.1216,                0.49596,                0.36827,                0.37666,                0.14686,                 2.1618,                 2.7957,                 2.1681,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0666,                 2.0223,                 1.9621,                0.47784,                0.40513,                0.35926,                0.14537,                 2.0725,                 2.3021,                 2.0479,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9828,                 1.9315,                 1.8837,                0.56964,                0.45081,                0.48264,                0.20769,                 1.9767,                 2.0879,                 1.9637,               0.009802,               0.009802,               0.009802
                      7,                 1.9116,                 1.8317,                  1.812,                0.61604,                0.45604,                 0.5029,                0.22358,                 1.9089,                 1.9891,                 1.9016,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8587,                 1.7625,                  1.759,                0.61504,                0.50093,                0.52696,                0.23758,                 1.9254,                 2.0088,                 1.8982,               0.009703,               0.009703,               0.009703
                      9,                 1.8283,                 1.7096,                 1.7326,                0.65072,                0.52013,                0.56923,                0.25762,                 1.8523,                  1.877,                 1.8238,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.802,                 1.6733,                 1.6988,                0.66091,                 0.5189,                0.57772,                0.26765,                  1.842,                 1.7754,                 1.8102,               0.009604,               0.009604,               0.009604
                     11,                 1.7722,                 1.6392,                 1.6814,                0.67995,                0.51731,                0.56575,                0.26668,                 1.8247,                 1.8191,                  1.774,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7496,                 1.6104,                 1.6526,                0.69479,                0.52694,                0.60119,                0.28249,                 1.8091,                 1.8067,                 1.7968,               0.009505,               0.009505,               0.009505
                     13,                 1.7348,                 1.5844,                  1.643,                0.69794,                0.54253,                0.62214,                0.29606,                 1.7835,                 1.7384,                 1.7383,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7207,                  1.565,                 1.6395,                0.66907,                0.51774,                0.59577,                0.28219,                 1.7994,                 1.9152,                 1.7715,               0.009406,               0.009406,               0.009406
                     15,                 1.7057,                 1.5287,                 1.6119,                0.68469,                0.54528,                0.60684,                0.30018,                 1.7572,                 1.6978,                 1.7425,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6822,                 1.4967,                  1.595,                0.67281,                0.55129,                0.60128,                0.28788,                 1.7514,                 1.6972,                  1.735,               0.009307,               0.009307,               0.009307
                     17,                 1.6639,                 1.4747,                 1.5849,                0.72593,                0.54994,                0.63036,                0.31321,                 1.7556,                 1.6701,                 1.7093,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6656,                 1.4796,                 1.5842,                0.71263,                0.56489,                0.64232,                0.31353,                  1.745,                 1.5968,                 1.7099,               0.009208,               0.009208,               0.009208
                     19,                 1.6451,                 1.4468,                 1.5626,                0.71508,                0.57495,                0.65196,                0.31845,                 1.7313,                 1.6043,                 1.6875,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6467,                 1.4561,                 1.5711,                0.70206,                0.56753,                0.63498,                0.30853,                 1.7396,                 1.6597,                 1.6986,               0.009109,               0.009109,               0.009109
                     21,                 1.6276,                 1.4295,                 1.5525,                 0.7185,                0.58167,                0.65349,                0.32523,                 1.7291,                 1.6825,                 1.6922,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6216,                 1.4047,                 1.5442,                 0.7077,                 0.5743,                0.64361,                0.32047,                 1.7065,                 1.7414,                 1.6856,                0.00901,                0.00901,                0.00901
                     23,                 1.6033,                 1.3912,                 1.5349,                0.71795,                0.57464,                0.65563,                0.32429,                 1.7079,                 1.5903,                  1.687,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5972,                 1.3961,                 1.5276,                0.71762,                0.59539,                0.65797,                0.32918,                 1.6967,                  1.555,                 1.6866,               0.008911,               0.008911,               0.008911
                     25,                 1.5985,                 1.3803,                 1.5286,                0.70975,                0.58615,                0.65141,                0.32853,                 1.7094,                 1.5818,                 1.6708,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5858,                 1.3833,                 1.5204,                0.73266,                0.58897,                0.66993,                0.33852,                 1.6841,                 1.5608,                 1.6528,               0.008812,               0.008812,               0.008812
                     27,                  1.583,                 1.3647,                 1.5129,                0.72303,                0.59338,                0.67166,                0.33794,                 1.6611,                  1.502,                 1.6296,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5731,                  1.338,                 1.5004,                0.73517,                0.59231,                 0.6715,                0.33538,                  1.699,                 1.5296,                 1.6492,               0.008713,               0.008713,               0.008713
                     29,                 1.5693,                 1.3438,                 1.5059,                 0.7203,                0.59679,                0.66739,                0.33585,                 1.6915,                 1.6092,                 1.6562,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5609,                 1.3295,                 1.5022,                0.73338,                0.60415,                0.68195,                0.34261,                 1.6763,                 1.5075,                 1.6357,               0.008614,               0.008614,               0.008614
                     31,                 1.5614,                 1.3235,                 1.4906,                0.71941,                0.59548,                0.66709,                0.33838,                 1.6756,                 1.4913,                 1.6353,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5436,                 1.3136,                 1.4891,                0.72922,                0.59566,                0.68154,                0.34863,                 1.6609,                 1.4984,                 1.6346,               0.008515,               0.008515,               0.008515
                     33,                 1.5526,                 1.3144,                 1.4906,                0.73882,                0.60298,                0.68346,                0.35018,                 1.6574,                 1.4874,                 1.6242,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5405,                 1.3062,                 1.4841,                0.71287,                0.61298,                0.68015,                0.34767,                 1.6635,                 1.4911,                 1.6215,               0.008416,               0.008416,               0.008416
                     35,                 1.5327,                 1.2984,                  1.479,                0.72391,                0.61737,                0.68574,                0.35488,                 1.6435,                 1.4647,                 1.6224,              0.0083665,              0.0083665,              0.0083665
