                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4685,                  3.701,                 3.7081,                 0.0534,                0.18277,                0.02825,                0.00813,                 3.0456,                 4.9262,                 3.2212,               0.070038,              0.0033291,              0.0033291
                      2,                  2.989,                 2.9002,                 3.0014,                0.14958,                0.22929,                 0.0871,                0.02865,                 2.6631,                 3.0404,                 2.7143,               0.039994,              0.0066185,              0.0066185
                      3,                 2.5014,                 2.5109,                 2.4809,                0.41924,                0.28008,                0.27386,                 0.1057,                 2.3401,                 4.3315,                 2.3595,              0.0099062,              0.0098638,              0.0098638
                      4,                 2.2197,                 2.2068,                 2.1356,                0.53905,                 0.4026,                0.41188,                0.16905,                 2.1198,                 2.5512,                 2.1318,               0.009802,               0.009802,               0.009802
                      5,                  2.054,                  2.026,                 1.9666,                0.52466,                0.42839,                0.43454,                0.18072,                 2.0356,                 2.4431,                 2.0234,               0.009802,               0.009802,               0.009802
                      6,                  1.965,                 1.9329,                 1.8842,                0.56166,                0.45102,                0.47522,                0.20327,                 1.9852,                  2.057,                  1.984,               0.009736,               0.009736,               0.009736
                      7,                 1.9081,                 1.8291,                  1.811,                0.62245,                0.47451,                0.51642,                0.22838,                 1.9373,                 1.9713,                 1.9157,                0.00967,                0.00967,                0.00967
                      8,                 1.8581,                 1.7616,                 1.7677,                0.63631,                0.49045,                0.52339,                0.23516,                 1.9541,                 2.0327,                  1.943,               0.009604,               0.009604,               0.009604
                      9,                  1.828,                 1.7184,                 1.7452,                0.63165,                0.49438,                0.55148,                0.25147,                 1.8607,                 2.0098,                 1.8559,               0.009538,               0.009538,               0.009538
                     10,                 1.7973,                 1.6783,                 1.7106,                0.64833,                0.50168,                0.56303,                0.25956,                 1.8446,                 1.8968,                 1.8399,               0.009472,               0.009472,               0.009472
                     11,                 1.7613,                 1.6453,                 1.6897,                0.67482,                0.51193,                0.57364,                0.26546,                 1.8364,                 1.9515,                 1.8193,               0.009406,               0.009406,               0.009406
                     12,                 1.7448,                 1.6175,                 1.6623,                0.65627,                0.53272,                0.57522,                0.27416,                 1.8098,                 1.7677,                 1.7955,                0.00934,                0.00934,                0.00934
                     13,                 1.7333,                 1.5916,                 1.6606,                0.67844,                0.53403,                0.61473,                0.29025,                 1.7929,                 1.7688,                 1.7678,               0.009274,               0.009274,               0.009274
                     14,                  1.722,                 1.5687,                 1.6548,                0.67215,                0.53945,                0.60384,                0.28682,                 1.7887,                 1.7981,                 1.7664,               0.009208,               0.009208,               0.009208
                     15,                 1.6958,                 1.5378,                 1.6229,                0.69008,                0.53247,                0.60851,                0.29617,                 1.7737,                 1.7443,                 1.7639,               0.009142,               0.009142,               0.009142
                     16,                  1.686,                 1.5072,                 1.6131,                0.67448,                0.55421,                0.60917,                0.29494,                  1.747,                 1.6872,                 1.7421,               0.009076,               0.009076,               0.009076
                     17,                 1.6619,                 1.4839,                  1.599,                0.69147,                0.55784,                0.62659,                0.30432,                 1.7628,                 1.7308,                 1.7371,                0.00901,                0.00901,                0.00901
                     18,                 1.6714,                 1.4911,                 1.6087,                0.67239,                0.56526,                0.63076,                0.30378,                  1.755,                 1.7397,                 1.7268,               0.008944,               0.008944,               0.008944
                     19,                 1.6493,                  1.464,                 1.5886,                0.69395,                 0.5768,                0.64891,                0.31197,                 1.7429,                 1.6619,                 1.7149,               0.008878,               0.008878,               0.008878
                     20,                 1.6488,                 1.4609,                 1.5895,                0.69389,                0.56031,                0.63073,                 0.3086,                 1.7454,                 1.6602,                 1.7216,               0.008812,               0.008812,               0.008812
                     21,                  1.626,                 1.4355,                 1.5697,                0.71058,                0.56499,                0.64608,                0.31756,                 1.7203,                 1.6273,                 1.7081,               0.008746,               0.008746,               0.008746
                     22,                 1.6201,                 1.4174,                 1.5647,                0.70164,                0.56435,                0.63395,                0.31741,                 1.7038,                 1.6596,                 1.7078,                0.00868,                0.00868,                0.00868
                     23,                  1.604,                 1.4052,                 1.5587,                 0.7309,                0.55569,                 0.6499,                0.32256,                  1.706,                 1.6067,                 1.7023,               0.008614,               0.008614,               0.008614
                     24,                 1.6023,                 1.4025,                 1.5478,                0.71239,                0.58355,                0.65876,                0.32823,                 1.7091,                 1.6681,                 1.7068,               0.008548,               0.008548,               0.008548
                     25,                 1.5967,                 1.3914,                 1.5505,                0.69778,                0.57683,                0.64348,                0.32062,                  1.713,                 1.5575,                 1.6964,               0.008482,               0.008482,               0.008482
                     26,                 1.5924,                 1.3993,                 1.5455,                0.68854,                0.58692,                0.64976,                0.32567,                 1.6939,                 1.5471,                 1.6844,               0.008416,               0.008416,               0.008416
                     27,                 1.5855,                 1.3705,                 1.5353,                0.72049,                 0.5898,                 0.6661,                0.33276,                 1.6839,                 1.5274,                 1.6687,                0.00835,                0.00835,                0.00835
                     28,                 1.5753,                 1.3515,                 1.5215,                0.71743,                0.58759,                 0.6607,                0.33255,                 1.6813,                 1.5426,                 1.6663,               0.008284,               0.008284,               0.008284
