                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4019,                 4.1304,                 3.6508,                0.16505,                0.07347,                0.04058,                 0.0101,                  3.056,                 4.4258,                 3.1523,               0.070038,              0.0033291,              0.0033291
                      2,                 3.0051,                  3.278,                 3.0015,                0.28673,                0.14959,                0.13672,                0.04624,                 2.5937,                 3.3756,                 2.6355,               0.040005,              0.0066295,              0.0066295
                      3,                 2.5196,                 2.7811,                  2.446,                0.35977,                0.27355,                0.23363,                 0.0853,                 2.3965,                  3.587,                 2.3798,              0.0099392,              0.0098968,              0.0098968
                      4,                 2.2659,                 2.4573,                 2.0982,                0.45422,                0.34769,                0.34235,                0.14333,                 2.1676,                 3.3398,                 2.1307,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.124,                 2.2529,                 1.9261,                 0.4977,                0.39295,                0.40355,                0.17022,                 2.0869,                 2.7298,                 2.0247,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.0317,                 2.1526,                 1.8452,                0.50571,                0.44409,                0.44757,                0.19599,                 1.9982,                 2.5869,                 1.9213,               0.009802,               0.009802,               0.009802
                      7,                 1.9679,                 2.0259,                 1.7709,                   0.57,                0.45757,                0.49332,                0.22185,                 1.9689,                 2.4238,                 1.8759,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9281,                 1.9564,                 1.7366,                0.57709,                0.46839,                0.50398,                 0.2297,                 1.9402,                 2.3273,                 1.8824,               0.009703,               0.009703,               0.009703
                      9,                  1.892,                 1.8974,                 1.7149,                 0.5769,                 0.4926,                0.53036,                 0.2444,                 1.9332,                 2.3479,                 1.8657,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8652,                 1.8569,                 1.6845,                0.60019,                0.49068,                0.54007,                0.25395,                 1.8931,                 2.1643,                 1.7983,               0.009604,               0.009604,               0.009604
                     11,                 1.8329,                 1.8053,                 1.6584,                0.62891,                0.49775,                0.55637,                0.25607,                 1.8963,                 2.1345,                 1.8079,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8137,                 1.7724,                 1.6353,                0.62047,                0.51939,                0.56688,                0.27225,                 1.8593,                 2.0741,                 1.7937,               0.009505,               0.009505,               0.009505
                     13,                 1.7951,                 1.7478,                 1.6308,                0.62402,                0.53581,                0.57494,                0.27489,                 1.8485,                 2.0416,                 1.7762,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7861,                 1.7212,                 1.6199,                0.62316,                0.53633,                0.58596,                0.27889,                 1.8458,                 2.3532,                  1.775,               0.009406,               0.009406,               0.009406
                     15,                 1.7578,                  1.698,                 1.5939,                0.64068,                0.54696,                  0.605,                0.29711,                 1.8046,                 1.9334,                 1.7267,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.7429,                 1.6498,                 1.5788,                0.64879,                0.53274,                0.59463,                0.29477,                 1.8069,                 1.9874,                 1.7467,               0.009307,               0.009307,               0.009307
                     17,                 1.7269,                 1.6304,                 1.5624,                0.65541,                0.55561,                0.60561,                 0.3022,                 1.8032,                 1.9047,                 1.7191,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.7362,                 1.6257,                 1.5636,                0.66551,                0.56926,                0.61645,                0.30469,                 1.7902,                 1.8429,                 1.7121,               0.009208,               0.009208,               0.009208
                     19,                 1.7116,                 1.5944,                 1.5462,                0.67333,                 0.5637,                0.63011,                0.31417,                 1.7788,                  1.921,                 1.6841,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.7168,                 1.6052,                 1.5581,                0.67134,                0.56663,                 0.6224,                0.31031,                 1.7744,                 1.9152,                  1.697,               0.009109,               0.009109,               0.009109
