                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5795,                 3.7261,                 3.7504,                0.17017,                0.12814,                0.07103,                0.02022,                 3.1232,                 4.0165,                 3.2655,               0.070038,              0.0033291,              0.0033291
                      2,                 2.9273,                 2.8548,                 2.9454,                0.20008,                0.27336,                0.12255,                0.03953,                 2.6072,                 2.8577,                 2.6447,               0.040005,              0.0066295,              0.0066295
                      3,                 2.4096,                  2.385,                 2.3776,                0.40533,                 0.3639,                 0.2838,                0.10488,                 2.2514,                 2.6875,                 2.3013,              0.0099392,              0.0098968,              0.0098968
