                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5629,                 3.8098,                 3.7302,                0.09113,                0.08478,                 0.0444,                0.01157,                 3.1684,                 3.6597,                 3.2251,               0.070038,              0.0033291,              0.0033291
                      2,                 2.9743,                 2.9109,                 2.9337,                0.19084,                0.27573,                0.10477,                 0.0346,                 2.5974,                 3.2469,                 2.6228,               0.039972,              0.0065965,              0.0065965
                      3,                 2.4623,                 2.4734,                  2.402,                0.34089,                0.28656,                0.23322,                0.08719,                 2.3288,                  2.744,                 2.3198,              0.0098402,              0.0097978,              0.0097978
                      4,                 2.1887,                 2.1728,                 2.0748,                0.53452,                 0.4003,                0.41989,                0.17128,                 2.1192,                 2.6297,                 2.0985,               0.009703,               0.009703,               0.009703
                      5,                 2.0485,                 2.0129,                 1.9172,                0.56464,                0.43061,                0.45955,                0.19311,                 2.0369,                 2.2898,                 1.9774,               0.009703,               0.009703,               0.009703
                      6,                 1.9599,                 1.9127,                 1.8511,                0.61562,                0.48199,                0.51614,                0.22655,                 1.9635,                  1.987,                 1.9289,               0.009604,               0.009604,               0.009604
                      7,                 1.8988,                 1.8229,                 1.7859,                 0.5695,                0.47713,                0.48898,                0.21433,                 1.9481,                 2.1826,                  1.923,               0.009505,               0.009505,               0.009505
                      8,                 1.8529,                  1.756,                 1.7422,                0.63089,                0.50507,                0.53364,                0.24387,                 1.9088,                 2.0438,                 1.8871,               0.009406,               0.009406,               0.009406
                      9,                 1.8193,                 1.7048,                 1.7177,                0.65426,                0.51507,                0.55999,                0.25539,                 1.8841,                 1.8907,                 1.8488,               0.009307,               0.009307,               0.009307
                     10,                 1.8017,                  1.674,                 1.6891,                0.63241,                0.51322,                0.56795,                0.26472,                 1.8558,                 1.8405,                 1.8202,               0.009208,               0.009208,               0.009208
                     11,                  1.761,                 1.6363,                 1.6746,                0.67006,                0.51894,                 0.5833,                 0.2689,                  1.829,                 1.8284,                 1.7941,               0.009109,               0.009109,               0.009109
                     12,                 1.7438,                 1.6066,                 1.6421,                0.64745,                0.53362,                0.57757,                0.27716,                 1.8003,                 1.7751,                 1.7759,                0.00901,                0.00901,                0.00901
                     13,                 1.7265,                 1.5708,                  1.632,                0.67223,                0.54195,                0.60728,                0.28507,                 1.7808,                 1.7823,                 1.7398,               0.008911,               0.008911,               0.008911
                     14,                 1.7131,                 1.5551,                 1.6249,                0.67655,                0.52847,                0.59935,                0.28252,                 1.7849,                  1.729,                 1.7429,               0.008812,               0.008812,               0.008812
                     15,                 1.6951,                 1.5184,                 1.5952,                0.68489,                0.55402,                0.61087,                0.29566,                 1.7661,                 1.7417,                 1.7352,               0.008713,               0.008713,               0.008713
                     16,                 1.6769,                 1.4913,                 1.5862,                0.68515,                0.54802,                0.61431,                0.29068,                 1.7464,                 1.6688,                 1.7204,               0.008614,               0.008614,               0.008614
                     17,                 1.6514,                 1.4666,                  1.572,                0.69935,                0.56201,                0.63068,                0.31029,                 1.7481,                 1.6782,                 1.7103,               0.008515,               0.008515,               0.008515
                     18,                 1.6615,                 1.4694,                 1.5722,                0.69735,                0.56335,                0.63865,                 0.3133,                 1.7452,                 1.6098,                 1.7033,               0.008416,               0.008416,               0.008416
                     19,                 1.6349,                 1.4417,                 1.5527,                0.71223,                 0.5674,                0.64764,                0.31841,                 1.7246,                 1.6024,                 1.6821,               0.008317,               0.008317,               0.008317
                     20,                 1.6393,                 1.4489,                 1.5643,                0.70881,                 0.5671,                0.63893,                0.31759,                 1.7348,                 1.6511,                 1.6859,               0.008218,               0.008218,               0.008218
                     21,                 1.6164,                 1.4184,                 1.5345,                0.71714,                0.57746,                0.65256,                0.32405,                 1.7192,                 1.5942,                 1.6776,               0.008119,               0.008119,               0.008119
                     22,                 1.6141,                 1.3982,                  1.532,                0.70151,                0.55812,                0.62911,                0.31361,                 1.7227,                 1.6428,                 1.6836,                0.00802,                0.00802,                0.00802
                     23,                 1.5944,                 1.3888,                 1.5256,                0.72419,                0.57188,                0.65841,                0.32502,                 1.7033,                  1.585,                  1.663,               0.007921,               0.007921,               0.007921
                     24,                 1.5875,                 1.3873,                 1.5141,                0.70352,                0.57927,                0.65195,                0.32633,                 1.7135,                  1.587,                 1.6743,               0.007822,               0.007822,               0.007822
                     25,                 1.5881,                 1.3778,                 1.5174,                0.72995,                0.56824,                0.65102,                0.33021,                 1.7015,                 1.5672,                  1.665,               0.007723,               0.007723,               0.007723
                     26,                 1.5848,                 1.3762,                 1.5144,                0.70445,                 0.5937,                0.66672,                0.33752,                  1.689,                 1.5314,                 1.6562,               0.007624,               0.007624,               0.007624
                     27,                 1.5719,                 1.3538,                  1.505,                0.73843,                0.58078,                0.66786,                0.33694,                 1.6823,                 1.5216,                 1.6479,               0.007525,               0.007525,               0.007525
                     28,                 1.5585,                 1.3342,                 1.4845,                0.71084,                0.58225,                0.65859,                0.33168,                  1.698,                  1.552,                 1.6558,               0.007426,               0.007426,               0.007426
                     29,                   1.56,                 1.3316,                 1.4938,                0.72449,                0.59575,                0.67168,                 0.3385,                 1.6804,                 1.5465,                 1.6385,               0.007327,               0.007327,               0.007327
                     30,                 1.5526,                 1.3275,                 1.4931,                0.73228,                 0.5916,                 0.6791,                  0.344,                 1.6881,                 1.4834,                 1.6465,               0.007228,               0.007228,               0.007228
                     31,                 1.5531,                 1.3227,                 1.4862,                0.73264,                0.57785,                0.66035,                 0.3384,                 1.6712,                 1.4804,                 1.6311,               0.007129,               0.007129,               0.007129
                     32,                 1.5336,                 1.3024,                 1.4796,                0.74401,                0.59339,                  0.678,                0.34818,                 1.6525,                 1.5197,                 1.6299,                0.00703,                0.00703,                0.00703
                     33,                 1.5341,                 1.3047,                 1.4792,                0.74106,                0.57891,                0.67427,                0.34359,                 1.6703,                 1.4936,                 1.6348,               0.006931,               0.006931,               0.006931
                     34,                 1.5263,                 1.2962,                 1.4711,                0.72458,                0.59516,                0.66812,                0.34388,                 1.6591,                 1.4777,                 1.6212,               0.006832,               0.006832,               0.006832
