                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4624,                 3.5566,                 3.5033,                0.09761,                0.20232,                0.04381,                0.01178,                 3.0091,                 4.3108,                 2.9785,               0.070038,              0.0033291,              0.0033291
                      2,                 2.8784,                 2.7689,                 2.7578,                0.24302,                0.24341,                0.13046,                0.04714,                  2.611,                  3.997,                 2.5593,               0.040005,              0.0066295,              0.0066295
                      3,                 2.4764,                 2.4491,                 2.3632,                 0.3909,                0.34552,                0.29341,                0.10518,                 2.3383,                 3.0597,                 2.3116,              0.0099392,              0.0098968,              0.0098968
                      4,                 2.2429,                 2.2033,                 2.0866,                0.46144,                0.34496,                 0.3352,                0.12429,                 2.2082,                 2.4399,                 2.1541,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0971,                 2.0524,                 1.9401,                0.48982,                 0.4064,                0.37482,                0.14805,                 2.1256,                 2.3376,                 2.0553,              0.0098515,              0.0098515,              0.0098515
                      6,                  2.004,                 1.9698,                 1.8661,                0.53917,                0.41962,                0.43612,                0.17965,                 2.0621,                 2.2057,                 2.0128,               0.009802,               0.009802,               0.009802
                      7,                 1.9467,                  1.872,                 1.8076,                0.55164,                0.43663,                0.45564,                0.19319,                 2.0029,                 2.0704,                 1.9486,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9016,                 1.8108,                 1.7611,                0.59229,                0.47033,                0.49117,                0.21644,                  1.955,                 2.0186,                  1.885,               0.009703,               0.009703,               0.009703
                      9,                 1.8712,                 1.7571,                  1.744,                 0.6364,                0.48976,                0.54717,                0.24793,                 1.8992,                 2.0165,                 1.8377,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.843,                 1.7247,                 1.7095,                0.61341,                0.47121,                0.52332,                0.24081,                 1.8859,                 1.9893,                 1.8223,               0.009604,               0.009604,               0.009604
                     11,                 1.8095,                 1.6873,                 1.6892,                0.65461,                0.50738,                0.56514,                0.25832,                 1.8666,                 1.8871,                 1.8099,              0.0095545,              0.0095545,              0.0095545
