                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3208,                 4.1665,                 3.8297,                0.11355,                 0.1066,                 0.0393,                0.01171,                  2.873,                 4.9996,                 3.3076,               0.070038,              0.0033291,              0.0033291
                      2,                 2.9026,                 3.2547,                 3.1109,                0.13784,                0.24289,                 0.0747,                0.02573,                 2.5822,                 4.5488,                 2.8425,               0.040005,              0.0066295,              0.0066295
                      3,                 2.5405,                 2.8117,                 2.6404,                0.29501,                0.34206,                0.23817,                0.08563,                 2.3647,                 3.4985,                 2.5676,              0.0099392,              0.0098968,              0.0098968
                      4,                 2.2645,                 2.4767,                 2.2838,                0.39165,                0.32594,                0.29664,                0.11807,                 2.1348,                 2.5702,                 2.3428,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1061,                 2.2698,                  2.115,                0.45971,                0.40023,                0.39156,                0.16293,                 2.0306,                 2.3856,                  2.187,              0.0098515,              0.0098515,              0.0098515
                      6,                  2.022,                 2.1574,                 2.0209,                0.53063,                 0.4328,                0.45525,                0.20082,                 1.9663,                 2.3714,                 2.1143,               0.009802,               0.009802,               0.009802
                      7,                 1.9581,                 2.0509,                 1.9421,                0.54484,                0.45689,                0.46365,                0.20745,                 1.9287,                 2.4652,                  2.072,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9135,                  1.983,                 1.8899,                0.53076,                0.49085,                0.45895,                  0.206,                 1.9099,                 2.3454,                 2.0352,               0.009703,               0.009703,               0.009703
                      9,                 1.8784,                 1.9183,                 1.8589,                0.57154,                0.51595,                0.51736,                0.23862,                 1.8723,                 2.1008,                 1.9908,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8511,                 1.8948,                 1.8289,                0.58564,                0.48658,                0.52965,                0.25107,                 1.8494,                 2.1529,                 1.9595,               0.009604,               0.009604,               0.009604
                     11,                 1.8251,                 1.8439,                 1.8065,                0.63519,                0.49306,                0.55425,                0.25921,                 1.8322,                 2.1491,                 1.9359,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8076,                  1.807,                 1.7705,                0.64035,                0.52595,                0.58123,                0.27802,                 1.8148,                 1.9671,                 1.9041,               0.009505,               0.009505,               0.009505
                     13,                 1.7912,                 1.7793,                 1.7663,                 0.6477,                0.53958,                0.59242,                0.28535,                 1.8014,                 2.0369,                 1.9049,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7747,                 1.7566,                 1.7553,                0.64632,                0.55102,                0.60506,                0.29081,                 1.8072,                 1.9472,                 1.8832,               0.009406,               0.009406,               0.009406
                     15,                 1.7546,                 1.7164,                 1.7221,                0.64183,                0.53363,                0.59377,                0.28183,                 1.7823,                 1.8965,                 1.8718,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.7381,                 1.6714,                 1.7101,                0.65491,                0.51574,                 0.5766,                0.27504,                 1.7722,                 2.0127,                 1.8637,               0.009307,               0.009307,               0.009307
                     17,                 1.7228,                 1.6619,                 1.6972,                0.66628,                0.54032,                0.60651,                0.30115,                  1.749,                 1.9331,                 1.8289,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.7207,                 1.6509,                 1.6889,                0.65666,                0.55446,                0.61004,                0.29871,                 1.7711,                 1.8789,                 1.8473,               0.009208,               0.009208,               0.009208
                     19,                 1.7026,                 1.6211,                 1.6709,                   0.69,                0.56087,                 0.6349,                0.31112,                 1.7361,                 1.8257,                 1.8136,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6979,                 1.6166,                 1.6702,                0.68318,                 0.5513,                0.61957,                0.29883,                 1.7697,                 1.8654,                 1.8261,               0.009109,               0.009109,               0.009109
                     21,                 1.6766,                 1.5878,                 1.6498,                0.70113,                0.56145,                0.63738,                0.31772,                 1.7284,                 1.8353,                 1.8038,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6778,                 1.5699,                 1.6406,                0.69594,                0.56127,                0.63228,                0.31349,                 1.7319,                 1.8301,                 1.7909,                0.00901,                0.00901,                0.00901
                     23,                 1.6615,                 1.5592,                 1.6378,                0.67281,                0.55983,                0.63018,                0.31615,                 1.7276,                 1.8678,                 1.7986,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6568,                 1.5498,                 1.6228,                0.70143,                0.56493,                0.63817,                0.32167,                 1.7225,                 2.1082,                 1.7907,               0.008911,               0.008911,               0.008911
                     25,                 1.6545,                  1.539,                 1.6261,                0.69279,                0.57458,                 0.6367,                0.31904,                 1.7063,                 1.8075,                 1.7712,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.6477,                 1.5334,                 1.6202,                0.69602,                0.57506,                 0.6462,                0.33083,                  1.702,                  1.738,                 1.7687,               0.008812,               0.008812,               0.008812
                     27,                 1.6368,                 1.5148,                 1.6105,                 0.7149,                0.57947,                0.65166,                0.33285,                 1.6953,                 1.7475,                 1.7583,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.6302,                 1.4852,                 1.5931,                0.68902,                0.58824,                0.65388,                0.33261,                 1.6866,                 1.7727,                 1.7533,               0.008713,               0.008713,               0.008713
                     29,                 1.6208,                 1.4857,                 1.5972,                 0.7056,                0.58296,                0.64731,                0.32209,                 1.6925,                 1.7523,                 1.7527,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.6194,                 1.4818,                 1.5966,                0.71542,                 0.5918,                 0.6677,                0.34195,                 1.6909,                 1.6785,                 1.7469,               0.008614,               0.008614,               0.008614
