                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6772,                  2.492,                 1.5437,                0.53083,                0.41282,                0.42015,                0.19211,                 1.7731,                 2.6256,                 1.6264,               0.070032,              0.0033298,              0.0033298
                      2,                 1.6351,                 1.8742,                 1.4845,                0.57069,                0.43549,                0.44067,                0.19326,                 1.8488,                 2.1833,                 1.6231,               0.039999,              0.0066301,              0.0066301
                      3,                 1.6795,                  1.821,                 1.5043,                0.45653,                0.37347,                0.36373,                0.14803,                 1.9321,                 2.3632,                 1.6819,              0.0099331,              0.0098975,              0.0098975
                      4,                 1.7009,                 1.7991,                 1.5181,                0.57025,                0.43733,                0.46783,                0.21347,                  1.834,                   2.09,                 1.6294,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6542,                  1.709,                 1.4931,                0.57332,                0.45688,                0.49235,                0.22738,                 1.8256,                  2.175,                 1.6087,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.6344,                  1.656,                 1.4824,                0.61861,                0.45363,                0.50733,                0.23847,                 1.7641,                 1.9395,                 1.5894,               0.009802,               0.009802,               0.009802
                      7,                 1.6037,                 1.5896,                 1.4503,                0.61226,                 0.4732,                0.52691,                0.24943,                 1.7449,                 1.8846,                 1.5696,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5829,                 1.5712,                 1.4431,                0.63164,                0.51204,                0.55435,                0.26656,                  1.739,                 1.7254,                  1.536,               0.009703,               0.009703,               0.009703
                      9,                 1.5694,                  1.543,                  1.436,                0.63624,                0.50047,                0.55392,                0.26995,                 1.7163,                 1.7135,                 1.5405,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5559,                 1.5102,                 1.4227,                0.64234,                0.50868,                0.56276,                0.26809,                 1.7518,                 1.7184,                 1.5442,               0.009604,               0.009604,               0.009604
                     11,                 1.5323,                 1.4704,                 1.4125,                0.66686,                 0.5011,                0.56833,                0.28434,                 1.7058,                 1.6712,                 1.5187,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5275,                 1.4577,                  1.409,                0.65063,                0.53031,                0.58248,                0.29086,                 1.6722,                  1.611,                 1.5104,               0.009505,               0.009505,               0.009505
                     13,                 1.5244,                 1.4488,                  1.405,                0.66369,                0.51945,                0.58272,                0.28894,                 1.6872,                 1.6367,                 1.5042,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.502,                 1.4368,                 1.4003,                 0.6542,                0.54611,                0.58652,                0.29218,                 1.6672,                 1.6121,                 1.5229,               0.009406,               0.009406,               0.009406
                     15,                 1.4969,                 1.4057,                  1.392,                0.66453,                0.52588,                0.59684,                0.29661,                 1.6597,                 1.5902,                 1.4922,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4939,                 1.4057,                 1.3807,                0.70113,                0.50238,                0.59164,                 0.2966,                  1.661,                 1.5963,                 1.4863,               0.009307,               0.009307,               0.009307
                     17,                 1.4778,                 1.3848,                 1.3816,                0.66613,                0.52573,                0.59413,                0.30157,                 1.6518,                 1.5671,                 1.4999,              0.0092575,              0.0092575,              0.0092575
