                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.379,                 1.2186,                 1.4252,                0.74324,                0.65932,                0.73083,                0.39865,                 1.5917,                 1.4236,                 1.6065,               0.070032,              0.0033298,              0.0033298
                      2,                 1.4013,                 1.2525,                 1.4414,                0.75272,                0.65633,                0.72291,                0.38607,                 1.6213,                  1.457,                 1.6284,               0.039966,              0.0065971,              0.0065971
                      3,                  1.434,                 1.2852,                 1.4613,                0.72221,                0.64476,                0.70732,                 0.3679,                 1.6464,                 1.6361,                 1.6328,              0.0098341,              0.0097985,              0.0097985
                      4,                 1.4662,                 1.3348,                 1.4797,                0.77141,                0.60885,                 0.7029,                0.36585,                 1.6503,                 1.5841,                 1.6575,               0.009703,               0.009703,               0.009703
                      5,                 1.4775,                 1.3422,                 1.4872,                0.74409,                0.62436,                0.70471,                0.37101,                 1.6457,                 1.5493,                 1.6541,               0.009703,               0.009703,               0.009703
                      6,                 1.4746,                 1.3414,                 1.4894,                0.72517,                 0.6415,                0.70513,                 0.3703,                  1.642,                 1.5778,                 1.6399,               0.009604,               0.009604,               0.009604
                      7,                  1.465,                  1.315,                 1.4719,                0.73327,                0.63108,                0.70499,                0.36899,                  1.648,                 1.5325,                 1.6446,               0.009505,               0.009505,               0.009505
                      8,                 1.4679,                 1.3381,                 1.4795,                0.74326,                0.62594,                0.70027,                0.36868,                 1.6438,                 1.5392,                 1.6336,               0.009406,               0.009406,               0.009406
                      9,                 1.4634,                 1.3361,                 1.4793,                0.74611,                0.62255,                0.71256,                0.37776,                 1.6376,                 1.5128,                 1.6371,               0.009307,               0.009307,               0.009307
                     10,                 1.4549,                 1.3227,                 1.4696,                0.75129,                0.62418,                0.71047,                0.37725,                 1.6437,                 1.5601,                 1.6475,               0.009208,               0.009208,               0.009208
                     11,                 1.4502,                 1.3095,                 1.4702,                 0.7269,                0.63172,                 0.7039,                0.37429,                 1.6464,                 1.5819,                 1.6641,               0.009109,               0.009109,               0.009109
                     12,                  1.459,                 1.3144,                 1.4752,                0.74422,                0.63158,                0.71347,                 0.3776,                 1.6227,                  1.487,                 1.6465,                0.00901,                0.00901,                0.00901
                     13,                 1.4562,                 1.3199,                 1.4721,                0.74052,                0.63547,                0.71952,                0.38168,                 1.6314,                 1.4906,                 1.6302,               0.008911,               0.008911,               0.008911
                     14,                 1.4468,                 1.3122,                 1.4654,                0.73048,                0.64023,                0.70846,                0.37478,                 1.6398,                 1.4628,                 1.6553,               0.008812,               0.008812,               0.008812
                     15,                 1.4471,                 1.3027,                 1.4648,                0.73293,                0.63287,                0.70827,                0.38044,                 1.6165,                 1.5383,                 1.6146,               0.008713,               0.008713,               0.008713
                     16,                 1.4457,                 1.2984,                 1.4612,                0.75211,                0.64042,                0.72677,                0.38938,                 1.6081,                 1.4672,                 1.6205,               0.008614,               0.008614,               0.008614
                     17,                 1.4326,                 1.2943,                 1.4575,                0.73758,                0.63669,                0.71088,                0.37755,                  1.628,                 1.5147,                 1.6384,               0.008515,               0.008515,               0.008515
                     18,                 1.4249,                 1.2899,                 1.4529,                0.74099,                0.64861,                0.72247,                0.38327,                 1.6223,                 1.4759,                 1.6351,               0.008416,               0.008416,               0.008416
                     19,                 1.4376,                 1.2814,                 1.4572,                0.73837,                0.63396,                0.71663,                0.38391,                 1.6175,                 1.4412,                 1.6243,               0.008317,               0.008317,               0.008317
                     20,                 1.4265,                 1.2728,                 1.4481,                0.74481,                0.64168,                0.72113,                0.38389,                 1.6271,                 1.4812,                 1.6351,               0.008218,               0.008218,               0.008218
                     21,                 1.4318,                 1.2669,                 1.4448,                0.74212,                0.62915,                0.71465,                0.38255,                 1.6042,                 1.5381,                  1.622,               0.008119,               0.008119,               0.008119
                     22,                 1.4177,                  1.267,                 1.4425,                0.75428,                0.64454,                 0.7282,                0.39053,                 1.6062,                 1.4407,                 1.6175,                0.00802,                0.00802,                0.00802
                     23,                 1.4266,                 1.2794,                 1.4533,                0.75299,                0.63403,                0.72357,                 0.3907,                 1.6148,                 1.4669,                 1.6334,               0.007921,               0.007921,               0.007921
                     24,                 1.4193,                 1.2651,                 1.4416,                0.74067,                0.64782,                0.72532,                0.39229,                  1.623,                  1.443,                 1.6213,               0.007822,               0.007822,               0.007822
