                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2905,                 4.1433,                 3.8118,                0.15877,                0.11566,                0.06409,                0.01874,                 2.8733,                 5.2631,                 3.3132,               0.070038,              0.0033291,              0.0033291
                      2,                 2.8923,                 3.2469,                 3.1242,                0.15258,                0.24276,                0.09858,                0.03178,                 2.5935,                 3.9106,                 2.8829,               0.039997,              0.0066212,              0.0066212
                      3,                 2.5607,                  2.865,                 2.6907,                0.30668,                0.26165,                0.21574,                0.08115,                 2.3971,                 3.2058,                 2.6392,              0.0099144,              0.0098721,              0.0098721
                      4,                 2.2938,                 2.5387,                 2.3525,                0.43773,                0.34339,                0.33189,                0.13481,                 2.1534,                 2.8006,                 2.3868,              0.0098144,              0.0098144,              0.0098144
                      5,                 2.1165,                  2.326,                 2.1671,                0.47968,                 0.3992,                0.39795,                 0.1644,                 2.0433,                 2.4173,                 2.2433,              0.0098144,              0.0098144,              0.0098144
                      6,                 2.0393,                 2.2082,                 2.0587,                0.48592,                0.43158,                0.43453,                0.18439,                 2.0085,                 2.3933,                 2.1815,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9659,                 2.0892,                 1.9702,                0.56669,                 0.4803,                0.48863,                0.21911,                 1.9071,                 2.2679,                 2.0584,              0.0096906,              0.0096906,              0.0096906
                      8,                 1.9204,                 2.0101,                 1.9157,                0.54055,                0.47833,                0.44948,                0.20211,                 1.9248,                 2.2795,                 2.0779,              0.0096288,              0.0096288,              0.0096288
                      9,                 1.8899,                 1.9325,                 1.8767,                0.60682,                0.50692,                0.53264,                0.24287,                 1.8784,                 2.0674,                 1.9948,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.8581,                 1.9098,                  1.843,                0.56498,                0.49336,                0.51456,                0.23756,                 1.8611,                 2.1587,                 1.9963,               0.009505,               0.009505,               0.009505
                     11,                  1.823,                 1.8608,                 1.8177,                0.63892,                0.49826,                0.55484,                0.25911,                 1.8496,                 2.1601,                 1.9527,              0.0094431,              0.0094431,              0.0094431
                     12,                 1.8049,                 1.8239,                 1.7805,                0.65655,                 0.5127,                0.57339,                 0.2718,                 1.8197,                 2.0519,                 1.9302,              0.0093813,              0.0093813,              0.0093813
                     13,                 1.7959,                  1.792,                 1.7821,                0.65775,                0.54902,                0.60133,                0.28807,                 1.7951,                 1.9467,                  1.894,              0.0093194,              0.0093194,              0.0093194
                     14,                 1.7816,                 1.7632,                 1.7648,                0.65056,                0.53767,                 0.5937,                0.28075,                 1.7944,                 2.0195,                 1.8964,              0.0092575,              0.0092575,              0.0092575
                     15,                 1.7537,                 1.7246,                 1.7297,                0.63244,                0.55559,                0.59972,                0.28921,                 1.7808,                 1.9203,                 1.8593,              0.0091956,              0.0091956,              0.0091956
                     16,                 1.7419,                 1.6805,                 1.7203,                0.67573,                0.53852,                 0.6092,                0.29342,                 1.7662,                 1.8619,                  1.867,              0.0091337,              0.0091337,              0.0091337
                     17,                 1.7216,                 1.6619,                 1.7078,                  0.654,                0.55329,                0.60674,                0.30094,                 1.7668,                 1.8716,                 1.8534,              0.0090719,              0.0090719,              0.0090719
                     18,                 1.7301,                 1.6598,                 1.7058,                0.68875,                0.57169,                0.62448,                0.30417,                 1.7641,                 1.7979,                 1.8554,                0.00901,                0.00901,                0.00901
                     19,                 1.7067,                 1.6224,                 1.6845,                0.72344,                0.55545,                0.63845,                0.31488,                 1.7473,                 1.8183,                 1.8221,              0.0089481,              0.0089481,              0.0089481
                     20,                 1.7002,                 1.6268,                  1.685,                0.69194,                0.55217,                0.62371,                0.31092,                 1.7564,                 1.9055,                 1.8416,              0.0088863,              0.0088863,              0.0088863
                     21,                 1.6768,                 1.6011,                 1.6641,                0.72385,                0.56222,                0.64928,                0.32117,                  1.737,                 1.7454,                 1.8228,              0.0088244,              0.0088244,              0.0088244
                     22,                 1.6742,                 1.5779,                 1.6531,                0.69814,                 0.5708,                0.64071,                 0.3238,                  1.717,                 1.7901,                 1.7968,              0.0087625,              0.0087625,              0.0087625
                     23,                 1.6639,                 1.5606,                 1.6423,                0.68762,                0.57434,                 0.6427,                0.31845,                 1.7071,                 1.7794,                 1.8025,              0.0087006,              0.0087006,              0.0087006
                     24,                 1.6569,                 1.5538,                 1.6317,                 0.6997,                0.58002,                0.65256,                 0.3307,                  1.711,                 1.8054,                 1.7977,              0.0086388,              0.0086388,              0.0086388
                     25,                 1.6486,                  1.538,                 1.6324,                  0.705,                0.57622,                0.64926,                0.32718,                 1.7179,                 1.7519,                 1.7906,              0.0085769,              0.0085769,              0.0085769
                     26,                 1.6453,                  1.534,                 1.6242,                0.70602,                0.57765,                0.65862,                0.33687,                 1.7025,                 1.7003,                 1.7661,               0.008515,               0.008515,               0.008515
                     27,                 1.6359,                 1.5116,                 1.6155,                0.72684,                 0.5647,                0.65012,                 0.3332,                  1.696,                 1.7429,                 1.7735,              0.0084531,              0.0084531,              0.0084531
                     28,                 1.6306,                 1.4891,                 1.5983,                0.70802,                0.58296,                0.65131,                0.32915,                  1.703,                 1.7772,                 1.7664,              0.0083913,              0.0083913,              0.0083913
                     29,                 1.6237,                 1.4897,                 1.6037,                0.69104,                0.58692,                0.65656,                0.33145,                 1.7015,                 1.7805,                 1.7472,              0.0083294,              0.0083294,              0.0083294
                     30,                 1.6212,                 1.4841,                 1.5977,                0.70282,                0.58825,                0.66585,                0.34414,                 1.6751,                  1.673,                 1.7394,              0.0082675,              0.0082675,              0.0082675
                     31,                 1.6112,                 1.4781,                 1.5901,                0.71369,                0.59768,                0.66959,                0.34444,                 1.6723,                 1.6421,                 1.7387,              0.0082056,              0.0082056,              0.0082056
